kem,ed25519,ecdsap384,ecdsap521
X25519,0.926,6.848,15.614
X448,1.82,7.742,16.508
ECP-521,12.058,17.98,26.746
mlkem512,0.756,6.678,15.444
x25519_mlkem512,1.036,6.958,15.724
mlkem768,0.778,6.7,15.466
x448_mlkem768,2.352,8.274,17.04
mlkem1024,0.803,6.725,15.491
p521_mlkem1024,13.811,19.733,28.499
hqc128,16.719,22.641,31.407
x25519_hqc128,17.007,22.929,31.695
hqc192,48.529,54.451,63.217
x448_hqc192,49.961,55.883,64.649
hqc256,88.586,94.508,103.274
p521_hqc256,100.529,106.451,115.217
