iter,ms
1,10.967
2,10.798
3,10.435
4,11.650
5,11.661
6,12.102
7,11.125
8,10.893
9,11.616
10,11.579
11,11.001
12,11.002
13,10.963
14,10.942
15,11.070
16,11.554
17,11.025
18,10.499
19,11.540
20,10.755
21,10.455
22,10.668
23,11.701
24,10.459
25,11.018
26,11.194
27,11.126
28,10.902
29,10.551
30,10.552
31,11.290
32,10.581
33,11.964
34,11.272
35,11.243
36,10.461
37,10.280
38,10.654
39,10.596
40,10.411
41,10.660
42,10.333
43,10.420
44,10.976
45,10.890
46,10.342
47,10.462
48,10.501
49,10.236
50,10.505
51,10.319
