iter,ms
1,15.198
2,16.760
3,16.405
4,15.462
5,16.036
6,16.321
7,16.200
8,15.454
9,15.738
10,15.569
11,16.126
12,15.605
13,15.445
14,16.338
15,15.532
16,15.534
17,15.789
18,15.480
19,15.505
20,15.597
21,15.812
22,15.308
23,15.358
24,15.278
25,15.403
26,15.547
27,15.684
28,16.081
29,16.512
30,15.956
31,16.242
32,16.225
33,16.103
34,15.799
35,16.122
36,15.755
37,15.874
38,16.528
39,15.267
40,15.584
41,15.490
42,15.633
43,17.562
44,15.642
45,15.880
46,15.541
47,15.846
48,15.791
49,15.993
50,15.294
51,16.304
