signature,run,sign,verify
mldsa44,1,0.109,0.039
mldsa44,2,0.11,0.039
mldsa44,3,0.11,0.039
mldsa44,4,0.111,0.039
mldsa44,5,0.109,0.039
mldsa44,6,0.11,0.039
mldsa44,7,0.109,0.039
mldsa44,8,0.109,0.039
mldsa44,9,0.11,0.039
mldsa44,10,0.11,0.039
mldsa44,11,0.109,0.039
mldsa44,12,0.109,0.039
mldsa44,13,0.113,0.041
mldsa44,14,0.11,0.039
mldsa44,15,0.108,0.039
mldsa44,16,0.109,0.039
mldsa44,17,0.11,0.039
mldsa44,18,0.11,0.039
mldsa44,19,0.11,0.039
mldsa44,20,0.109,0.039
mldsa44,21,0.11,0.039
mldsa44,22,0.11,0.039
mldsa44,23,0.109,0.039
mldsa44,24,0.109,0.039
mldsa44,25,0.11,0.039
mldsa44,26,0.111,0.039
mldsa44,27,0.109,0.039
mldsa44,28,0.11,0.039
mldsa44,29,0.109,0.039
mldsa44,30,0.11,0.039
mldsa44,31,0.111,0.039
mldsa44,32,0.112,0.041
mldsa44,33,0.11,0.039
mldsa44,34,0.11,0.039
mldsa44,35,0.111,0.039
mldsa44,36,0.11,0.039
mldsa44,37,0.11,0.039
mldsa44,38,0.109,0.039
mldsa44,39,0.11,0.039
mldsa44,40,0.111,0.039
mldsa44,41,0.11,0.039
mldsa44,42,0.11,0.039
mldsa44,43,0.11,0.039
mldsa44,44,0.109,0.039
mldsa44,45,0.109,0.039
mldsa44,46,0.109,0.039
mldsa44,47,0.111,0.039
mldsa44,48,0.111,0.039
mldsa44,49,0.11,0.039
mldsa44,50,0.11,0.039
mldsa65,1,0.177,0.066
mldsa65,2,0.177,0.066
mldsa65,3,0.174,0.066
mldsa65,4,0.175,0.067
mldsa65,5,0.176,0.066
mldsa65,6,0.177,0.066
mldsa65,7,0.176,0.065
mldsa65,8,0.176,0.065
mldsa65,9,0.177,0.065
mldsa65,10,0.177,0.066
mldsa65,11,0.175,0.066
mldsa65,12,0.175,0.066
mldsa65,13,0.176,0.066
mldsa65,14,0.175,0.066
mldsa65,15,0.177,0.065
mldsa65,16,0.174,0.065
mldsa65,17,0.176,0.065
mldsa65,18,0.176,0.066
mldsa65,19,0.175,0.066
mldsa65,20,0.176,0.065
mldsa65,21,0.176,0.065
mldsa65,22,0.176,0.066
mldsa65,23,0.178,0.066
mldsa65,24,0.176,0.066
mldsa65,25,0.176,0.066
mldsa65,26,0.176,0.066
mldsa65,27,0.176,0.065
mldsa65,28,0.175,0.066
mldsa65,29,0.178,0.066
mldsa65,30,0.175,0.066
mldsa65,31,0.176,0.066
mldsa65,32,0.176,0.065
mldsa65,33,0.176,0.066
mldsa65,34,0.175,0.066
mldsa65,35,0.176,0.065
mldsa65,36,0.176,0.066
mldsa65,37,0.175,0.066
mldsa65,38,0.176,0.065
mldsa65,39,0.175,0.066
mldsa65,40,0.176,0.065
mldsa65,41,0.175,0.066
mldsa65,42,0.175,0.066
mldsa65,43,0.175,0.066
mldsa65,44,0.176,0.065
mldsa65,45,0.176,0.065
mldsa65,46,0.176,0.066
mldsa65,47,0.175,0.066
mldsa65,48,0.176,0.066
mldsa65,49,0.176,0.066
mldsa65,50,0.174,0.066
mldsa87,1,0.223,0.106
mldsa87,2,0.223,0.105
mldsa87,3,0.222,0.105
mldsa87,4,0.222,0.105
mldsa87,5,0.222,0.105
mldsa87,6,0.22,0.106
mldsa87,7,0.221,0.106
mldsa87,8,0.221,0.105
mldsa87,9,0.222,0.105
mldsa87,10,0.222,0.107
mldsa87,11,0.221,0.106
mldsa87,12,0.219,0.105
mldsa87,13,0.22,0.106
mldsa87,14,0.22,0.106
mldsa87,15,0.219,0.105
mldsa87,16,0.222,0.106
mldsa87,17,0.221,0.105
mldsa87,18,0.22,0.105
mldsa87,19,0.22,0.105
mldsa87,20,0.221,0.106
mldsa87,21,0.22,0.105
mldsa87,22,0.22,0.105
mldsa87,23,0.22,0.105
mldsa87,24,0.218,0.105
mldsa87,25,0.221,0.105
mldsa87,26,0.22,0.105
mldsa87,27,0.22,0.105
mldsa87,28,0.22,0.106
mldsa87,29,0.219,0.105
mldsa87,30,0.22,0.106
mldsa87,31,0.22,0.105
mldsa87,32,0.22,0.106
mldsa87,33,0.222,0.106
mldsa87,34,0.219,0.105
mldsa87,35,0.22,0.105
mldsa87,36,0.222,0.106
mldsa87,37,0.222,0.105
mldsa87,38,0.221,0.106
mldsa87,39,0.222,0.105
mldsa87,40,0.224,0.105
mldsa87,41,0.222,0.106
mldsa87,42,0.22,0.105
mldsa87,43,0.223,0.105
mldsa87,44,0.221,0.105
mldsa87,45,0.223,0.106
mldsa87,46,0.219,0.106
mldsa87,47,0.222,0.106
mldsa87,48,0.222,0.105
mldsa87,49,0.222,0.106
mldsa87,50,0.222,0.106
