x25519,mlkem512,hqc128
8.61,7.89,26.09
7.96,7.79,26.19
7.75,8.75,25.59
7.57,9.27,23.85
7.47,8.71,25.03
7.79,8.11,25.01
8.09,8.91,25.49
7.87,7.74,25.49
7.59,7.85,24.73
7.81,8.58,27.32
7.83,8.80,23.82
8.47,8.41,28.30
7.19,7.78,25.35
8.45,7.81,25.79
8.39,8.78,24.27
7.65,8.01,24.11
8.27,7.85,26.51
7.78,7.91,23.79
8.66,7.91,24.65
7.55,7.96,24.63
7.82,8.17,26.47
7.93,8.64,25.96
7.33,8.76,23.89
9.03,8.28,25.17
7.60,8.27,25.55
7.23,8.24,32.55
7.61,7.92,26.53
7.88,7.90,28.69
8.08,7.91,25.61
7.88,8.39,26.15
7.26,7.93,3588.85
7.87,9.14,26.81
8.31,9.60,26.18
7.74,7.57,26.99
7.89,9.79,26.32
8.95,8.61,24.69
7.61,7.91,27.57
7.38,7.96,26.10
7.42,7.63,23.89
7.50,8.01,23.67
7.30,7.68,25.54
7.12,7.64,24.83
8.35,7.71,25.39
7.50,7.80,24.44
7.78,7.95,25.08
7.44,7.82,27.40
7.69,10.38,23.90
8.86,9.25,24.46
8.06,8.70,24.67
