x25519,mlkem512,hqc128
8.76,8.85,17.59
8.67,10.01,16.56
9.40,9.27,16.26
8.60,8.96,17.75
10.43,9.38,16.12
8.33,14.38,17.31
9.54,10.05,17.20
9.03,10.75,17.05
9.76,10.15,16.54
10.50,8.68,17.81
9.89,10.14,16.37
8.97,8.96,16.71
9.24,9.23,16.67
8.30,9.58,16.73
9.53,8.71,18.75
9.86,8.84,16.18
8.78,9.28,17.25
8.94,8.94,16.64
8.47,9.15,17.36
9.73,10.46,16.65
8.36,9.24,16.48
9.17,8.88,16.31
10.04,9.74,16.23
9.28,8.66,16.86
8.18,8.62,18.38
9.87,8.46,16.53
8.95,9.24,16.78
9.70,9.83,17.78
9.51,8.30,16.58
9.63,8.68,16.82
8.98,9.25,17.35
10.79,8.42,16.21
9.37,9.86,20.40
8.42,8.54,32.10
7.73,9.66,17.22
9.28,9.09,18.62
8.39,9.81,17.91
9.07,8.15,18.15
8.24,9.07,31.69
8.90,8.39,17.44
9.63,10.36,18.44
9.45,8.61,16.90
8.58,9.57,16.36
9.27,8.44,16.73
10.87,8.94,21.29
8.43,9.09,16.98
8.98,9.38,16.97
8.36,9.18,16.38
8.61,8.53,18.93
