x25519,mlkem512,hqc128
18.30,18.33,38.39
19.01,17.21,39.20
16.90,18.05,37.82
17.79,20.88,35.77
17.28,19.34,38.48
17.70,17.73,37.22
20.55,20.88,38.29
17.96,17.36,37.89
17.93,17.60,36.65
17.56,18.45,41.90
17.16,18.83,35.56
18.73,19.39,43.45
17.98,18.19,40.32
20.04,18.94,38.34
18.10,19.11,36.19
17.93,17.50,36.38
17.88,17.14,39.15
18.93,18.02,35.47
18.27,17.94,37.52
16.78,19.00,36.27
17.50,18.22,39.65
17.54,18.58,38.84
16.78,18.87,36.05
18.75,18.25,38.74
18.02,18.65,38.74
16.77,18.39,49.10
16.90,17.89,40.02
18.44,18.39,43.97
17.83,17.57,38.02
17.90,19.79,38.51
16.83,17.55,3602.42
19.02,20.78,40.10
19.36,20.34,38.96
17.53,17.01,38.99
17.42,19.98,40.93
19.51,18.24,36.81
18.22,17.36,39.30
16.83,19.12,38.39
16.53,18.18,35.48
16.71,17.81,35.68
18.12,16.97,38.63
16.32,17.35,38.04
18.18,17.80,37.77
17.34,17.20,36.46
17.35,17.81,37.20
17.29,17.50,39.93
18.13,20.99,35.72
18.77,20.94,36.71
17.91,19.20,36.57
