x448,mlkem768,hqc192
7.35,6.16,39.72
6.34,6.71,40.35
6.53,6.64,36.30
5.82,6.06,27.07
5.54,16.75,38.45
5.22,5.73,43.42
5.53,8.80,40.78
5.37,7.58,36.95
5.75,5.56,40.16
5.30,6.23,37.74
9.91,7.56,38.33
4.90,5.73,38.03
5.92,5.98,35.85
6.66,5.96,40.52
6.36,6.23,39.66
5.52,5.72,38.41
6.68,8.86,37.90
6.18,5.93,35.22
5.05,7.39,39.12
6.13,6.36,37.86
6.42,5.74,37.05
4.89,7.04,37.12
5.35,5.91,40.42
5.53,6.41,36.87
5.72,7.58,39.93
6.07,6.40,35.61
4.86,7.31,38.86
5.16,7.00,39.03
6.47,8.28,42.29
6.40,6.98,39.43
6.68,7.41,38.47
5.79,6.95,36.06
7.02,6.35,37.29
5.69,7.19,36.15
5.15,6.36,40.61
6.07,4.85,40.14
6.87,7.69,26.87
5.40,8.01,27.48
6.39,6.82,36.86
5.38,5.54,37.01
5.91,5.49,74.13
6.14,6.01,37.68
4.94,7.47,36.61
5.72,28.03,37.05
5.57,6.15,37.50
5.44,5.53,40.54
5.31,7.14,39.45
5.54,6.63,38.95
5.41,6.36,38.35
