p521,mlkem1024,hqc256
19.31,13.77,102.16
19.62,14.94,95.28
19.64,13.49,101.13
19.72,13.67,98.09
19.65,14.48,100.86
19.62,12.52,100.53
20.55,13.70,99.33
19.07,12.91,98.64
19.38,13.73,106.20
18.92,12.56,98.13
23.38,13.58,99.43
19.31,12.54,99.25
18.37,14.23,101.37
19.11,12.80,100.84
20.13,13.36,104.30
19.37,13.91,103.37
20.16,12.53,101.45
20.85,14.41,99.32
19.55,13.89,101.14
19.45,13.75,99.11
18.97,12.69,99.12
19.27,13.92,144.10
19.72,13.81,98.08
18.15,12.61,108.74
19.76,15.55,99.67
20.38,13.12,98.23
19.65,14.14,95.98
20.14,12.49,102.00
20.02,12.98,100.38
19.70,14.72,97.85
19.21,12.83,103.54
18.59,13.78,96.51
18.74,14.23,102.20
18.55,13.28,106.70
18.57,12.34,101.76
18.69,13.90,97.62
20.06,14.73,99.92
18.37,12.65,100.32
25.58,14.62,105.22
18.49,16.28,97.32
18.53,13.26,99.69
19.85,12.94,98.66
18.98,12.74,100.20
21.06,12.70,100.33
19.03,13.03,97.15
18.65,12.55,95.20
21.76,14.03,97.67
19.48,13.02,99.93
19.00,14.03,103.60
