x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
13.20,13.49,13.71,20.91,20.61
12.95,13.07,12.92,19.90,19.86
12.79,13.44,12.88,20.32,20.17
13.38,13.10,13.62,20.14,20.09
13.30,13.30,13.17,21.61,20.37
13.32,13.22,13.10,20.03,36.75
13.02,13.23,12.65,21.11,20.00
13.15,13.12,13.48,20.03,21.07
13.22,13.42,12.68,20.01,20.08
13.29,13.12,13.14,25.84,20.47
13.05,13.30,13.10,20.82,20.31
13.12,13.07,13.01,20.26,22.22
13.33,13.19,13.42,20.60,20.22
13.18,13.01,12.69,20.35,20.52
13.06,13.14,13.18,20.89,20.06
13.08,13.05,12.60,19.85,22.55
12.78,14.32,12.80,19.92,20.03
12.80,13.12,12.95,20.18,20.12
13.20,13.42,12.94,19.79,19.93
12.95,13.31,12.93,19.96,20.13
13.21,13.04,13.02,20.27,19.88
13.13,13.01,12.86,19.93,21.48
13.76,13.01,13.60,21.55,19.98
13.26,13.13,13.06,20.58,21.30
13.32,13.34,12.75,19.91,19.75
12.78,12.97,13.09,21.24,31.50
13.02,13.38,12.94,19.99,21.39
13.70,13.19,12.74,19.86,20.46
12.89,12.95,12.79,19.99,35.44
13.05,13.16,12.90,20.76,19.84
13.67,13.39,13.12,20.04,21.05
13.16,14.59,13.48,20.65,19.90
13.24,13.23,12.89,20.12,20.87
13.71,13.81,13.16,20.99,19.69
12.99,13.19,13.03,20.53,19.76
13.73,13.29,12.80,21.04,19.80
12.99,13.32,12.86,20.16,19.96
13.42,13.10,13.01,20.20,20.46
14.22,13.07,12.73,20.22,20.39
13.28,12.90,12.58,20.64,19.91
13.37,12.98,12.71,20.66,20.32
12.85,13.04,12.67,20.44,20.62
14.07,13.61,13.53,20.42,20.45
13.37,13.08,13.13,19.92,19.87
13.60,13.12,12.63,20.22,20.24
12.92,14.68,12.94,19.81,19.83
12.93,12.96,13.28,27.84,20.28
14.22,13.02,13.02,27.40,20.07
13.08,13.11,12.59,20.15,21.74
