x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
52.00,55.06,54.21,56.29,61.29
55.63,53.87,53.59,60.86,63.01
54.27,54.33,50.46,60.25,58.16
55.41,53.70,51.97,62.08,61.20
53.29,53.43,53.81,58.13,60.28
53.97,52.34,52.13,61.06,60.10
55.19,51.45,54.17,59.44,57.92
53.34,54.17,52.63,57.64,59.51
53.31,52.94,52.71,62.08,60.09
55.00,52.66,52.66,60.24,60.26
51.58,53.90,54.20,61.30,62.47
55.04,50.89,51.28,60.21,59.56
58.56,69.03,54.54,60.77,57.48
56.48,59.22,55.36,61.61,61.40
56.01,50.09,63.88,59.60,60.99
57.99,53.19,58.26,59.35,59.91
55.86,60.15,59.32,60.14,59.59
62.11,52.54,63.75,59.45,57.60
55.76,54.83,61.02,60.33,58.82
54.99,55.79,56.28,58.01,59.20
59.48,57.20,61.19,61.89,57.87
61.67,59.55,64.52,61.64,67.07
58.76,61.79,56.30,55.95,64.24
64.99,57.15,60.54,57.35,67.34
59.93,60.96,61.87,61.12,61.92
57.86,65.04,61.56,61.01,61.18
66.03,50.56,55.39,60.93,62.88
56.80,59.86,62.20,61.72,64.45
58.93,62.52,61.16,62.98,57.41
63.52,58.40,65.74,58.14,70.03
63.96,58.72,54.94,61.46,65.07
52.79,61.02,59.67,62.14,67.50
49.36,52.43,55.87,61.99,68.46
54.09,50.42,51.70,64.71,57.34
55.77,53.40,56.61,62.66,63.15
57.40,52.44,53.19,67.07,65.28
53.92,52.43,65.28,60.10,63.36
53.56,53.57,55.62,67.50,62.65
57.03,53.84,64.71,66.78,57.83
59.48,56.52,57.22,64.58,68.46
64.48,51.99,63.72,59.45,62.78
51.89,54.64,55.79,64.43,66.47
53.50,52.88,53.15,59.16,64.11
65.36,54.41,59.59,58.45,62.51
54.02,53.42,56.36,63.43,65.34
59.61,50.46,55.74,61.78,56.31
57.09,55.55,51.98,71.55,68.77
64.08,52.12,57.01,68.49,65.26
52.98,52.74,55.06,59.86,62.90
