x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
50.47,52.89,53.08,67.46,69.78
50.32,50.98,50.58,66.79,68.21
49.66,51.50,51.26,68.02,66.12
50.79,50.93,52.53,67.30,66.70
52.34,51.37,51.69,71.99,68.75
51.63,52.24,51.35,67.09,76.56
50.05,51.33,50.48,68.61,67.41
50.76,50.92,52.49,67.88,67.47
50.65,51.97,50.41,67.62,67.26
51.14,51.59,51.42,80.04,68.81
50.23,51.50,52.09,68.54,68.37
50.57,51.43,51.03,67.76,70.79
51.60,51.84,52.57,67.22,66.92
51.36,50.88,50.22,66.96,67.23
50.46,51.10,51.93,68.76,67.31
49.89,50.98,50.98,67.32,78.33
49.62,54.40,50.82,67.05,68.20
49.78,51.50,51.60,67.09,67.63
51.14,52.08,51.35,66.60,66.87
50.19,51.06,51.69,67.56,70.11
51.20,50.97,51.39,68.39,68.09
50.42,50.69,51.09,66.71,68.90
53.65,51.49,52.63,73.68,66.90
50.99,50.94,52.33,68.70,68.26
51.34,53.21,50.60,66.74,67.62
49.61,50.79,52.61,68.18,71.04
49.87,51.72,51.00,66.83,68.23
51.97,50.91,51.40,67.51,68.28
49.69,50.79,50.82,66.40,73.80
49.94,52.81,50.82,67.06,67.38
52.70,51.89,52.64,66.90,69.03
51.14,54.07,53.41,69.56,66.77
51.23,51.78,51.22,76.18,67.84
52.60,52.58,51.88,69.53,66.25
50.23,51.09,51.52,70.24,68.04
51.01,51.45,51.05,69.16,65.86
50.53,52.17,50.66,67.95,67.08
50.65,51.54,51.46,71.14,66.24
53.85,51.04,5329.20,67.15,68.40
50.84,50.43,50.08,67.44,66.60
52.45,50.62,50.33,73.53,68.36
49.85,50.46,50.66,68.58,69.14
53.09,52.16,53.62,68.53,74.45
50.89,51.34,52.36,66.63,68.15
51.83,50.99,50.15,69.19,68.38
49.79,56.29,51.87,67.34,67.27
49.91,50.81,52.09,75.63,66.83
53.17,51.18,50.68,76.88,66.62
51.21,50.96,50.28,67.78,69.91
