x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
16.15,13.22,13.39,37.30,35.46
15.98,14.14,13.65,36.92,37.12
13.49,13.49,13.33,36.34,36.79
16.12,13.54,13.59,35.07,36.66
15.87,14.14,13.03,37.00,35.47
20.36,14.55,13.42,38.82,36.94
16.60,14.29,13.65,34.59,35.29
14.21,13.08,13.00,35.73,35.33
12.73,13.79,13.10,37.38,34.25
15.71,13.46,12.82,35.03,37.13
20.53,13.30,12.83,37.13,36.07
15.05,14.63,13.41,36.86,36.53
15.65,13.90,15.92,41.17,42.17
18.19,15.66,12.53,35.58,37.10
14.01,14.46,13.71,39.14,38.68
18.53,13.81,14.35,42.88,36.41
14.15,15.15,15.73,42.95,42.52
13.70,13.87,15.03,43.08,36.14
20.79,13.34,15.26,42.02,39.87
17.28,13.66,15.97,41.14,40.17
18.05,13.35,13.49,42.49,39.44
18.85,15.07,13.25,38.87,36.74
18.96,13.97,13.50,38.96,42.20
12.65,14.89,15.21,42.50,43.26
14.30,12.83,13.34,42.93,42.03
17.93,13.49,15.16,42.02,42.46
19.11,15.33,12.97,42.61,39.99
20.12,13.11,15.19,39.76,37.27
25.41,15.03,13.38,41.31,38.88
17.80,14.24,15.17,39.72,39.61
13.90,15.11,13.36,41.34,41.64
13.22,13.40,15.35,42.40,40.62
16.17,13.46,13.63,39.92,42.91
13.98,14.75,15.53,43.20,40.50
14.29,13.68,14.08,42.19,41.70
17.42,15.49,16.17,42.84,37.59
13.41,13.48,15.07,43.00,42.18
19.61,15.09,15.24,43.22,40.91
15.59,14.94,13.74,42.05,42.50
12.76,13.33,15.15,42.03,39.40
14.77,14.03,15.80,42.29,39.07
15.37,13.60,14.16,42.51,34.37
18.21,13.65,15.37,41.37,39.80
18.07,15.02,15.54,38.81,40.78
17.12,14.04,13.92,43.11,41.68
14.61,15.21,16.30,43.11,42.26
18.43,13.19,14.17,42.66,40.13
18.54,15.78,15.26,42.75,42.29
13.41,15.35,15.85,42.55,42.55
