x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
14.84,15.61,15.07,70.97,46.71
15.81,15.62,17.01,71.79,78.44
14.87,15.28,15.10,71.55,72.27
15.31,16.01,14.64,70.55,68.20
15.02,17.74,14.97,49.78,50.36
14.99,15.05,15.04,69.25,47.83
15.85,15.54,14.83,70.86,69.23
15.73,15.49,14.84,70.38,47.39
15.39,15.67,15.05,47.67,46.74
15.22,16.12,14.91,47.12,50.53
14.96,15.23,15.23,72.92,49.71
15.03,15.96,14.55,47.50,68.38
15.39,15.60,15.15,70.47,69.29
16.02,15.18,14.66,78.67,70.73
15.35,15.88,15.56,70.19,70.34
14.85,15.26,15.06,70.92,69.26
15.54,15.99,14.71,74.81,69.42
14.88,15.25,15.99,71.47,69.20
15.13,15.57,15.62,87.27,77.26
15.32,15.74,15.13,71.32,68.49
14.97,15.92,15.44,71.06,47.71
15.02,15.42,14.78,49.29,72.50
15.43,15.09,14.70,71.20,68.62
14.82,16.22,14.82,71.64,47.16
14.99,18.08,15.90,72.91,65.90
15.25,15.30,15.05,71.75,48.14
15.26,15.66,15.57,71.07,47.80
15.23,15.48,14.85,47.21,71.78
15.36,16.61,15.14,51.41,68.92
15.00,15.77,15.10,49.27,69.58
14.73,15.56,14.84,72.15,88.23
15.20,15.88,15.51,47.44,46.84
15.52,15.78,15.37,49.18,72.85
15.33,15.26,14.99,71.77,50.23
15.49,15.26,15.11,72.51,70.66
15.01,15.17,14.77,53.73,69.70
15.04,15.31,14.70,72.55,47.35
15.04,15.66,17.81,71.31,70.92
15.38,15.99,14.96,73.38,75.39
15.86,15.04,14.37,71.11,47.73
15.20,15.14,15.66,74.38,47.54
15.12,20.98,14.72,73.97,68.89
15.29,18.52,15.31,72.99,48.30
15.07,15.46,14.64,48.95,69.40
15.30,15.76,14.77,71.32,71.58
16.69,15.28,15.69,70.92,49.63
15.18,15.47,14.88,54.90,70.81
14.96,15.34,15.64,71.14,75.33
15.35,15.22,14.88,72.34,68.71
