x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
62.52,58.36,54.90,93.04,85.63
57.87,55.22,58.26,89.79,91.16
57.41,60.12,57.91,91.19,89.84
58.02,58.01,55.37,90.20,91.17
68.26,57.29,58.16,91.64,85.91
62.06,58.24,56.36,91.31,88.40
63.08,58.16,58.42,88.61,88.02
55.07,58.44,57.67,88.29,86.68
53.27,57.49,58.50,92.55,86.92
56.83,56.96,56.90,88.69,92.90
66.30,58.21,54.97,92.09,89.68
58.92,58.32,56.06,89.49,89.54
57.77,55.89,65.74,96.64,97.39
64.05,63.46,60.95,89.47,100.87
63.22,67.49,57.96,94.80,93.10
58.91,65.91,58.31,95.03,94.80
58.69,65.52,58.83,102.29,97.49
53.74,58.60,66.03,102.56,99.97
67.19,63.98,64.06,103.76,97.10
64.24,73.32,61.50,101.79,103.52
66.20,60.82,61.12,98.20,99.59
66.32,62.51,58.18,93.92,92.97
68.33,62.68,55.19,100.90,101.35
51.92,65.84,69.99,100.99,95.91
56.66,58.42,60.48,102.84,101.63
64.86,61.56,63.88,101.91,98.32
65.86,64.83,60.24,98.86,95.58
65.04,58.96,64.94,100.89,88.46
69.40,61.56,62.70,98.38,98.55
63.60,64.33,61.57,95.67,95.12
62.07,60.47,57.45,99.17,95.77
58.43,61.77,64.86,102.05,103.49
61.46,58.49,59.59,100.96,99.20
59.82,61.79,61.91,98.50,100.78
56.31,57.83,59.92,99.29,96.94
62.15,62.01,65.89,101.63,91.32
64.06,54.72,63.28,98.78,104.01
62.85,59.60,64.71,103.94,97.34
59.62,61.45,60.29,102.96,103.05
58.14,62.99,66.09,100.16,99.99
55.39,62.72,57.60,100.10,91.83
65.98,59.84,63.05,102.37,92.04
66.74,59.48,65.14,101.87,94.67
67.86,65.11,63.08,95.80,92.57
66.90,57.42,64.61,103.58,101.72
57.14,64.97,65.71,98.09,100.61
61.77,59.53,66.03,99.73,95.78
62.34,56.26,68.05,105.85,101.44
56.47,69.32,64.85,102.13,101.14
