p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
67.85,69.26,62.33,144.60,129.30
68.05,71.10,59.27,137.42,125.13
70.34,68.96,64.24,140.66,132.04
65.11,72.67,60.98,137.15,128.34
66.56,72.29,62.25,137.79,132.61
67.27,69.10,61.03,133.75,130.93
69.36,69.98,63.34,133.21,134.33
66.26,70.73,60.85,139.01,135.33
68.34,70.10,62.38,140.32,131.33
63.89,69.12,62.04,145.04,124.88
67.33,72.26,62.32,138.05,133.35
68.02,72.24,60.62,141.32,128.62
70.42,76.91,63.07,131.84,133.29
69.27,76.90,63.71,142.36,131.92
66.42,74.29,66.82,137.72,131.03
69.19,76.90,66.72,147.86,148.94
67.07,77.71,68.95,142.10,144.86
72.45,75.56,63.12,159.24,135.78
67.24,77.96,60.23,155.82,148.68
69.42,77.19,63.97,150.85,133.40
65.83,75.91,67.42,152.47,143.58
66.21,73.75,66.67,144.32,140.23
66.11,75.75,63.01,144.73,140.06
69.17,81.41,66.92,144.88,136.66
68.44,81.41,62.54,143.11,146.12
67.76,77.63,64.65,139.68,140.42
69.84,71.33,67.98,146.36,144.96
68.75,76.64,65.91,145.42,137.38
70.31,81.22,61.93,149.47,141.51
68.23,74.47,63.66,155.54,141.07
69.53,75.81,67.09,155.15,148.20
67.86,79.91,67.67,140.03,148.01
69.35,77.59,64.39,140.41,137.26
64.06,74.82,62.41,162.51,152.58
68.89,73.53,70.66,150.42,144.54
69.15,81.47,66.87,140.64,146.65
65.98,75.64,71.91,155.82,143.99
68.06,71.12,63.75,148.75,142.36
69.20,73.35,63.97,148.56,131.70
68.31,75.40,67.45,152.75,132.54
66.96,72.18,67.86,150.29,140.00
68.61,77.78,66.17,144.28,139.01
69.25,70.10,69.81,143.47,136.95
69.62,79.69,58.70,147.52,139.56
20.55,72.10,67.19,152.25,146.50
19.55,24.57,66.44,148.98,136.33
19.79,24.68,67.66,143.50,140.37
19.70,24.38,64.39,145.59,134.15
19.71,24.65,64.57,139.99,144.07
