x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
5.17,1.83,4.43,4.53,4.59
4.46,5.27,1.27,4.67,9.25
4.53,1.51,1.53,2092.54,26.33
4.61,1103.34,4.39,4.70,4.78
4.34,2048.44,4.63,4.45,4.33
2101.73,2068.56,4.19,10.24,26.72
2356.71,1.38,1.51,4.32,13.43
2251.14,2.26,4.00,13.28,13.24
1.54,2272.08,1.19,2038.80,4.59
1.44,1.50,1.42,4.46,4.55
4.93,5654.39,1.37,4.43,10.05
1.74,1.57,1.68,13.82,4.89
4.88,1.48,1.60,1267.36,4.42
2.24,1.50,4.23,6579.31,2418.46
2053.55,1.56,1.17,10.01,2033.99
1.57,1.44,4.14,2433.05,2185.49
1.96,1.30,1.19,14.05,13.55
1.44,1.51,4.22,4.80,9.78
2548.09,3.67,4.58,14.35,4.37
1.73,1.42,1.31,14.00,1220.84
4.56,1.40,1.73,10.03,2077.06
1.39,1.46,1.34,2299.18,4.57
4.46,2266.93,1.20,5.51,13.36
1.43,3.81,1.60,12.39,2283.94
4.49,1.38,4.89,13.90,2464.42
2112.98,1.37,1.34,26.44,4.49
1.49,2056.76,2.37,4.39,3454.03
4.79,4.70,4.12,26.48,13.02
1.66,1215.41,2.11,13.91,14.11
1.58,1.32,2488.57,4.52,2106.13
1.36,2.18,1.36,4.67,4.15
1.28,1.39,1.56,4.94,12.75
1.37,1.58,2126.98,27.43,4.46
1.70,1.62,1.95,4.67,4.37
4.64,1.41,1.37,2883.15,10.04
4.72,2.44,1.70,9.41,14.54
1.59,4.83,2.55,2347.43,13.92
1.63,1.81,1.31,7423.33,9.76
1.58,2163.04,1.54,9.50,4.05
1.61,1.43,4.16,3637.38,8.96
1225.13,1.44,4.17,4.59,9.43
1.46,1.41,1.22,,4.38
1.64,1.38,1.43,,7.30
2116.23,1.54,1.47,,2212.74
5538.58,1.77,2416.57,,4.25
4.54,1.67,1.46,,
4.64,1.85,1.52,,
,2103.55,4.29,,
,2.13,,,
