x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
2.84,3.09,3.01,10.02,10.03
3.49,2424.62,2.96,10.94,9.78
3.04,2.75,2.84,12.06,9.69
2.73,2.87,2.66,10.54,22.37
6666.38,3.01,2.52,10.14,12.60
3.01,2307.02,2.52,25.14,10.43
2.61,2.99,2.64,22.82,6436.40
6788.59,3.28,2.57,18.55,13.71
2153.24,2.95,2404.77,2283.47,4116.35
3.30,2.85,5678.20,2049.52,2302.29
3.00,3.06,2393.30,23.41,2108.61
4.28,3.22,2512.49,26.40,23.95
2.73,2.85,2.91,10.26,26.30
2.92,2.95,2060.20,10.11,10.84
2.56,4.67,2.55,4636.86,2156.03
2.86,5661.37,2.82,22.98,13615.22
3.20,4.24,2432.35,10.37,22.88
3.00,2.84,2.76,9.84,17.74
3.60,1199.37,2.79,12.76,22.04
3.43,3.10,2.67,2412.70,6288.58
2.79,3.15,3.72,10.35,11.19
2.90,2.93,2.49,10.10,13.41
2110.21,3.18,2.41,10.81,19.30
2.80,2315.72,2.59,9.95,11.03
2.88,3.01,2.96,6021.47,10.05
6030.83,6684.09,2.60,21.45,10.69
2.80,3.05,2.56,10.03,10.55
5794.26,3.49,2.51,11.93,22.96
3.07,2.82,2.78,2099.73,6205.12
3.19,2.72,2.43,8712.30,6167.90
2.98,2123.51,2.71,21.26,2119.35
2231.90,2.93,2.59,2132.73,10.71
2.94,3.11,2.58,10.56,10.36
2.79,2.80,2.67,22.08,22.42
5833.32,4.17,2291.47,10.38,10.31
2062.70,2.97,2.47,10.89,9.92
2.78,3.37,2.55,4152.28,11.42
2.96,3.10,2.54,25.98,11.60
2.94,2.89,2.99,10.35,23.38
3.12,2.81,2.58,10.46,19.41
8912.91,3.81,5227.40,,9.60
2.73,2.91,3.03,,24.85
2.88,3.22,2.82,,2370.76
2.76,3.04,2220.09,,22.06
2.99,3.87,7435.21,,
2.94,3.02,2407.92,,
3.49,3.13,3.50,,
2.69,2.77,2.62,,
2424.86,,,,
