x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
7478.72,2142.06,2314.27,2206.69,2489.47
8152.16,16.88,5.12,2114.77,12.68
2038.78,5.32,5.58,12.88,8321.25
6369.44,5592.61,2400.80,2327.56,2090.63
2057.92,4091.65,17.16,13.42,12.53
4362.29,3176.74,2218.57,12.66,2189.20
2362.17,2520.83,5.51,2489.28,2168.00
6846.35,6859.19,2196.27,2044.57,31.63
2317.69,4539.36,4.91,12.74,2501.29
2263.16,5.16,7179.36,6496.49,12.82
2138.21,5659.27,2053.26,4673.75,13.07
5.42,5.43,5.57,1289.40,12.91
4630.26,2084.77,5.52,6584.55,2482.30
6.41,7452.81,15.50,13.20,7733.33
8743.74,5.32,4.73,5890.54,2044.12
5.39,8353.20,14.71,4796.89,4577.13
6.55,4220.53,2233.54,13.26,13.80
4.88,2365.05,7831.65,4332.55,1138.47
11302.69,8493.68,2331.41,5713.65,7616.69
2510.80,4757.29,12285.77,1143.66,2082.68
2087.52,4.95,5.29,6574.93,6479.69
4.87,5.51,6.15,1045.44,2278.47
9154.55,6889.29,2083.59,7044.09,2290.95
8595.04,13.51,1270.93,33.27,2572.44
2307.34,2103.08,2379.19,4574.12,12.73
2117.79,5.38,2274.64,13.17,2448.32
2114.87,3186.61,7.87,4822.16,2026.28
3265.03,2324.21,2493.36,2167.61,8476.34
2259.35,1220.53,4.91,12.94,12.51
5.06,5.43,5860.99,2302.09,2100.22
4.79,2250.86,10588.14,14.28,13.02
4.56,4.93,2201.81,34.54,12.38
4.73,5.65,5.04,2227.06,12.95
2164.65,5.63,5.37,4032.63,1153.08
15.21,6.59,2451.92,2320.55,1193.57
4774.45,15.74,2319.03,2352.72,12.83
5.03,1198.20,5.66,9904.49,5081.18
2166.48,2173.72,6888.94,6075.67,2322.08
4.96,6592.48,8141.89,3643.17,2368.73
5.33,2182.17,5.66,13.46,12.40
1234.67,2220.95,5.46,,2034.16
5.28,5.15,1150.02,,4390.04
4.91,5.14,3623.07,,12.43
9873.08,2139.77,4233.92,,
5548.25,5.44,5869.84,,
5757.42,2505.84,3134.91,,
15.00,4459.89,,,
,7.52,,,
