x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
5375.59,17817.38,4287.68,30.01,5849.01
11.11,4777.81,2441.20,2503.31,30.16
10.23,10.45,12047.27,41.29,6330.12
9.44,2497.52,2485.66,2058.01,4433.69
8825.75,11.06,10.03,30.24,33.56
9.75,4560.25,8498.29,31.55,2496.06
2154.95,11.11,5555.42,32.11,6443.61
6792.99,8873.64,10.52,2360.06,5811.69
2239.15,11.43,8403.29,2294.51,8122.52
5553.58,6213.08,5686.55,2068.10,4426.30
2501.09,2075.77,2398.01,31.91,16324.44
9.30,11583.31,2516.85,5863.45,29.38
8271.21,14047.06,4015.56,28.86,2428.69
2148.59,6139.09,12143.18,5852.77,6794.43
10.50,9743.33,10.22,4647.48,2163.47
10.91,5671.29,10182.37,30.32,13624.01
2154.59,5655.31,2437.19,6239.06,32.29
6106.17,1075.92,4848.57,2155.43,4702.73
11.94,1204.19,6011.65,31.44,29.46
2308.83,9129.90,10.82,4731.34,6297.23
4714.39,11.34,2086.43,3686.05,2350.15
6497.96,10.86,10.04,4981.69,32.64
4691.57,8574.81,3376.45,31.98,4584.09
3352.51,2320.86,11.60,18665.65,32.95
6035.12,1056.93,2236.91,10781.57,27.65
9.65,6688.60,2429.80,3668.94,3390.93
5798.79,8030.61,4746.01,9473.17,31.65
11.38,2041.73,8020.64,6708.15,31.39
10.46,10.64,10.05,2107.16,6210.91
3800.85,10.21,3172.23,11113.93,6174.60
2239.69,4167.43,2298.00,2430.38,2124.24
2063.24,10.81,6311.72,9346.41,2295.77
9.49,18625.90,10.55,2445.76,2471.77
5837.82,10.32,3385.22,2145.84,6313.10
2067.89,2392.86,2127.85,27.53,5872.15
10.21,3767.60,2237.66,2130.73,6613.71
10.03,13.67,1156.31,4170.04,30.19
10.43,4495.14,11134.51,20315.75,31.49
11285.34,10.76,11.11,5889.10,32.91
9.34,10.31,5231.70,28.65,30.44
6328.44,14236.80,11.76,,1762.70
9.53,10.52,9565.28,,35.04
4719.35,11.14,2225.11,,30.18
11.04,4141.41,2412.39,,
11.66,12.88,1203.46,,
7475.01,6946.30,4551.27,,
2429.57,1185.97,,,
,10.54,,,
