x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
4.76,5.64,5.41,51.93,28.23
9769.12,5833.86,4.58,30.42,53.29
6135.05,5.11,14.96,29.46,30.02
6.01,5.88,4.48,29.32,38.97
5.08,5.27,5.15,31.07,31.64
9416.07,5.13,5.17,29.58,29.63
5.89,5.33,5.70,29.21,34.80
5.53,4311.12,5.00,29.24,27.44
5.06,7.41,12037.52,30.04,29.69
5.08,5.73,5.82,30.75,38.07
6.22,7.94,5.32,32.45,31.36
2035.55,5.39,4.52,29.67,34.51
4.77,5.49,4.74,28.17,2288.87
5.45,5.89,4.91,28.56,30.01
5.03,20.07,4.50,31.01,33.56
2464.76,9.25,5.73,29.37,2105.97
5.14,16.81,4.94,28.54,31.64
7.86,6.26,4.54,28.31,28.27
5.11,5.35,2294.29,32.34,30.25
2007.40,5.15,5.00,30.23,6883.75
5.52,7.44,14.53,73.61,2098.63
5.31,2013.51,4.82,29.86,50.16
4.94,5.55,4.53,28.98,2490.90
4.83,5.68,5.06,30.51,28.22
6.76,5.45,4.73,28.76,61.48
4.78,2083.74,4.92,28.55,31.39
8.64,17.90,5.65,40.01,30.17
4.76,5.04,5.22,27.61,28.40
7.11,5.20,4.49,32.28,28.54
5.62,5.19,4.71,30.80,51.21
4.99,5.35,5.76,28.33,31.73
4.90,1208.15,5.78,29.95,27.40
5.13,6.92,4.48,28.49,31.39
4.69,6.24,4.59,30.02,40.29
5.31,5.15,7.71,47.27,28.27
4.88,5.13,4.76,29.74,53.34
4.57,16.93,4.63,28.57,31.05
5.13,5.46,4.43,28.47,34.20
2083.30,7.95,2088.55,28.75,29.56
4.67,5.75,4.58,32.28,61.84
2520.57,10.18,5.57,30.98,30.67
4.80,5.25,15.04,29.05,72.65
5.24,1254.41,5.05,29.21,
9.66,8.90,5.19,28.16,
6835.74,17.49,16.47,29.17,
2305.45,16.87,4.66,28.73,
,5.16,7.49,30.46,
,17.05,5.26,30.15,
,2226.19,5.19,29.17,
