x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
9.10,3347.09,27.68,10054.52,30.08
2082.20,10.50,2362.21,30.45,7303.37
6234.39,10.14,3415.87,31.69,31.42
7785.92,2078.05,4656.64,31.69,4140.74
8.80,2084.56,8180.86,13202.24,2366.50
3554.47,6015.86,27.32,32.78,30.08
26.49,2273.53,7133.11,32.03,8930.84
1158.13,1223.42,5161.90,2412.54,3791.20
2099.41,10.25,4236.77,5973.86,4924.25
2323.43,6164.95,2173.74,2577.28,31.11
2079.66,2795.56,9.12,31.87,5720.49
25.59,11.05,9.09,54.40,56.56
8.87,11.24,2138.03,8363.72,30.78
2113.66,10.18,2200.60,9258.40,57.12
2321.44,10.48,2113.00,31.85,2089.34
2429.16,6285.53,9.29,31.74,56.47
22.54,2452.85,2166.54,2061.04,2312.96
8305.06,11.38,1161.99,3201.84,4513.42
9.35,2249.01,2034.90,2509.26,30.14
2179.10,12549.14,9.05,31.30,30.86
2220.26,11.11,4991.51,7143.83,2374.03
8.95,29.47,9.67,31.27,1272.88
8506.40,28.36,2098.88,57.88,30.05
2311.28,6098.06,8302.09,2270.89,30.95
8869.17,2195.58,10.55,31.60,9700.34
26.15,2266.53,2171.46,6298.95,2138.03
2126.22,2301.62,9.44,11299.72,2321.30
2082.75,26.12,9.58,4724.77,57.78
9.04,2389.88,2089.38,1937.27,2082.04
6731.20,2274.46,2602.56,32.99,7015.27
2817.13,2380.02,1073.44,6333.74,30.59
19004.27,10.06,2491.74,31.78,3667.84
1130.66,10.19,3606.12,30.91,30.07
6104.66,6231.94,2107.35,6655.76,2306.04
6309.29,10.39,5857.83,14008.30,4481.92
2043.96,2346.65,4773.33,4341.26,2112.94
9.01,27.70,9.87,31.01,6765.09
2241.89,2512.36,9.03,2497.03,6118.02
3401.34,10.10,9.30,,2211.00
8.94,2482.70,5012.79,,3477.68
9.62,9738.92,10.52,,30.35
2262.18,2101.03,2094.29,,4341.02
3459.57,2333.46,4661.30,,
2409.49,29.25,9003.83,,
6386.81,,2332.14,,
2371.64,,2309.79,,
4981.67,,1168.17,,
2437.41,,,,
