x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
17.67,7387.65,4633.71,74.42,72.57
9774.64,5848.19,2188.76,82.32,68.20
2036.46,7001.52,3217.32,73.49,6389.81
2155.94,22.24,18.05,76.49,13694.63
9422.38,20.41,1092.26,78.38,75.27
2246.36,11225.81,2154.65,75.07,2548.71
20.46,2118.76,2122.21,75.64,8964.57
2075.18,6466.48,2127.25,74.25,68.61
18.86,2443.50,21.57,75.48,2067.52
19.54,4353.23,2201.03,79.89,1898.25
6243.84,7125.90,18.34,77.17,81.88
4515.08,21.06,4339.29,73.81,3136.09
19.08,2484.06,18.64,76.50,4584.58
6204.48,22.72,2039.46,72.39,74.51
2470.38,1289.34,24.12,76.25,2514.28
8061.34,2055.46,2126.63,74.20,2151.98
24.45,2068.52,2022.26,77.15,1161.64
2359.62,2474.32,2232.06,73.00,2332.13
2020.99,20.22,7062.86,80.56,1162.06
19.44,4146.06,2219.72,76.58,8641.72
1091.38,2028.83,6057.86,98.52,72.45
19.28,3139.84,4687.16,75.11,24811.65
18.16,7421.41,6744.33,74.34,7205.65
2154.41,4394.49,6033.91,76.59,2197.31
17.75,22.44,6753.54,73.63,75.87
2458.26,19.54,5524.40,74.04,79.32
9203.83,5992.23,1077.93,86.36,2289.13
22.16,2163.95,10749.11,74.63,71.23
2336.19,4694.04,23.07,76.40,2150.60
2208.95,1227.14,2062.09,77.54,11666.51
17.77,23.20,4630.85,72.88,2109.57
19.81,9012.92,19.17,76.80,2525.66
17.68,21.25,2240.86,74.46,3432.46
2016.01,20.71,2371.53,74.80,4535.94
18.86,5542.13,18.93,98.62,6417.54
17.26,3266.34,6310.82,77.27,86.89
18.64,1165.93,8956.21,74.45,7670.70
2088.78,10212.59,2302.30,74.23,2145.64
16152.30,2455.68,2542.51,73.82,82.35
2526.47,20.63,10506.49,80.24,75.46
18.99,3766.59,1085.09,79.80,2418.60
19.56,29.09,20.43,75.54,
28.51,10981.78,2103.17,74.65,
6842.48,21.54,18.14,74.20,
4597.45,2400.48,24.52,75.55,
,16989.06,7877.09,73.40,
,4467.08,2078.43,82.18,
,,,77.56,
,,,76.06,
