p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
8.12,8.45,4.59,24.46,22.53
2409.78,8.52,7.16,2414.43,38.10
21.70,8.57,12.14,25.34,45.75
7.91,45.79,4.46,50.76,36.27
8.12,8.34,35.65,2152.15,21.78
7.86,21.14,4.31,25.96,38.11
7.83,8.47,6738.75,50.43,45.43
7.96,22.97,11.57,25.07,21.56
9.51,1225.81,4.50,24.65,23.12
1234.21,21.05,4.05,51.99,21.86
21.87,8.35,11.74,24.73,45.46
22.31,6385.64,4.38,51.69,44.92
21.33,5599.66,12.04,51.97,45.23
2193.04,8.38,2293.22,2514.09,2166.61
7.87,9.20,14.73,24.97,1133.80
7.83,20.97,2224.54,2301.57,66.39
8.20,8.35,4.56,51.38,20.99
7.88,8.31,5.20,25.17,46.04
7.96,8.38,11.43,24.48,23.11
22.24,8.65,4.26,25.66,21.50
7.83,22.79,2224.01,24.62,44.81
23.12,8.22,15.18,78.06,2041.50
8.01,8.34,4.55,50.08,21.44
7.68,9.17,4.19,25.47,21.43
22.45,8.36,10.50,41.87,21.02
8.09,8.26,12.28,2305.68,45.65
8.04,2191.60,4.98,25.51,2445.83
2054.81,8.46,5.06,24.78,21.58
22.59,2393.12,1052.26,24.97,45.58
4473.03,8.29,5.15,25.64,35.60
7.79,23.94,4.01,80.37,21.22
7.90,24.13,11.94,25.08,22.41
22.51,45.64,11.67,51.12,21.97
7.74,4884.33,4.62,25.03,38.06
2316.35,18.76,11.67,25.09,21.62
8.04,8.86,5.52,2155.23,21.87
2461.38,8.92,2310.93,24.69,21.53
7.84,8.41,12.77,25.47,21.13
7.78,23.90,11.92,2142.12,21.15
21.90,8.25,5599.03,42.54,46.45
8.01,8.33,4.28,25.02,21.56
6768.19,8.58,4.12,25.48,5899.58
8.00,23.74,4.59,50.95,21.27
20.72,8.27,4.33,50.44,2453.76
22.76,23.54,4.56,25.74,
7.74,23.35,14.84,,
8.20,9.54,,,
22.34,23.52,,,
,9.04,,,
