p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
16.13,19.51,7.75,63.45,55.96
21.17,18.41,7.09,65.06,9638.48
16.51,16.59,7.73,65.71,63.33
18.46,40.27,2466.43,60.49,53.78
16.14,16.40,7.34,107.40,54.82
15.69,18.95,28.70,58.36,53.22
15.34,17.78,7.29,61.06,49.91
18.32,42.02,6.93,66.30,51.76
2041.96,16.39,8.29,85.12,53.18
15.41,16.78,7.64,62.52,51.83
15.52,21.61,7.31,63.76,51.16
14.65,15.62,8240.79,2137.01,50.62
15.41,15.28,8.32,2079.82,53.73
14.56,4181.71,9.31,60.68,54.84
15.98,16.62,8.39,63.96,50.23
2216.84,17.10,7.74,105.93,51.49
14.64,16.64,2165.89,69.65,53.03
16.03,2173.45,7.41,61.37,50.39
15.28,2320.04,37.89,58.32,56.42
17.30,20.78,7.12,59.02,90.94
14.32,16.13,7.40,8068.80,52.34
16.38,16.09,12.13,80.65,51.44
15.87,18.29,8.62,76.03,56.37
15.08,2112.09,6.92,62.53,54.95
4727.85,45.36,7.49,106.40,53.98
18.23,24.30,2026.89,61.12,57.24
24.48,16.41,30.13,60.23,52.10
5661.44,16.36,9.27,71.04,2018.03
15.40,42.87,7.18,70.22,51.39
15.20,15.42,7.23,58.29,55.44
24.72,42.99,2179.00,64.19,52.85
15.18,15.62,7.27,2117.73,55.33
16.35,15.21,7.46,59.28,52.16
15.76,16.16,27.97,58.98,52.79
17.04,17.10,7.27,61.45,59.47
14.39,16.34,6.96,64.62,51.76
15.26,15.90,7.20,62.23,2285.38
14.68,2232.97,7.55,58.84,48.92
15.88,3606.81,11460.27,60.19,50.78
14.61,32.11,6.91,59.77,52.77
14.45,15.39,9.49,2472.69,52.71
14.42,15.88,8.52,,54.43
14.75,2514.31,6.93,,50.62
14.44,16.06,7.65,,50.66
16.36,17.63,7.18,,55.57
14.51,16.01,2263.83,,
14.71,2486.94,7.40,,
2032.15,16.79,2127.49,,
,,7.69,,
