p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
20.09,2252.53,2131.57,3428.86,55.30
2417.66,2225.90,2020.35,5946.13,55.02
2075.17,24.39,10581.89,61.73,4671.59
19.70,5711.69,2160.58,4528.09,4392.04
4886.77,24.04,4784.55,6353.78,53.89
1317.85,6080.48,11898.53,5147.12,6788.79
19.72,20691.16,2090.81,90.02,1376.65
2026.35,2107.06,15.74,6204.04,2206.43
8272.59,10227.11,15.28,2069.32,2082.64
1242.51,6166.60,37.33,6752.40,6078.93
43.19,24.71,15.60,2763.77,84.49
7000.26,6121.10,5237.92,3242.63,4963.87
41.83,6084.99,2247.76,89.39,4680.11
2201.44,23.75,2208.73,12575.37,3543.13
6614.95,2384.53,14094.16,62.58,2382.18
19.77,47.52,8065.68,26060.69,54.17
2210.23,6062.45,2405.40,4261.17,4742.33
20.12,23.62,15.53,2346.02,2488.60
2407.73,1048.05,4289.28,60.72,2319.82
6136.90,2427.94,34.98,4774.23,7424.31
19.90,2039.16,2333.50,61.58,12114.84
4271.61,2226.50,1238.52,87.31,5609.13
6267.31,23.66,4428.30,3685.36,54.89
2115.72,2420.82,3242.18,62.31,2408.85
2285.08,24.07,9204.86,62.61,82.43
20.10,15482.94,15.06,61.23,5983.95
20.68,6438.41,2153.60,5600.90,2413.98
8550.96,3719.08,6768.99,62.59,4261.59
9940.40,25.19,15.88,5382.29,52.23
4479.50,2494.72,36.99,2079.53,4810.18
2067.44,24.21,16.78,7946.97,2192.35
19.79,3427.31,13263.94,3958.65,2444.53
2342.84,2206.78,2207.25,98.22,4498.73
19.82,2111.45,12191.31,62.45,54.22
7117.52,25.58,8466.94,6635.28,55.01
2419.18,2455.51,15.23,61.11,53.63
2469.51,4554.81,2427.50,7222.38,54.63
19.84,47.79,1252.64,9829.97,82.93
19.63,46.48,15.63,61.81,6444.17
15550.61,2314.65,,4886.42,5959.83
2096.31,2337.96,,2456.21,1238.48
6775.65,24.63,,89.91,2511.91
19.94,,,4318.82,
2261.77,,,2212.36,
2361.14,,,,
19.98,,,,
2345.80,,,,
12648.76,,,,
