p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
40.94,66.50,31.02,2108.01,3056.36
1274.27,49.22,2141.14,7923.06,9704.73
6046.17,2096.47,2265.85,2477.20,2434.29
51.74,2392.97,9727.13,1255.28,2338.99
2219.80,1947.63,36.03,2549.92,129.03
2456.13,2071.22,28.92,2453.43,1176.93
41.70,4491.87,2438.77,5994.33,3580.55
2425.39,48.69,2141.61,2204.75,1259.99
4070.55,50.24,29.06,2264.01,9459.78
5467.85,47.18,40.97,3411.10,2502.49
1201.55,2169.83,35.33,4206.49,2202.79
36.03,45.46,2928.82,2166.37,2361.68
2178.41,8163.14,1171.05,6284.61,136.59
2411.06,1298.24,2127.92,143.58,8790.49
2227.58,2346.64,29.44,2061.73,128.69
9773.48,68.53,2473.18,6174.70,2614.69
42.56,6709.25,10200.64,2462.36,6881.45
41.52,48.84,2161.61,145.46,10299.17
5519.15,53.27,28.75,5291.76,2245.49
34.50,7300.02,43.71,147.44,8468.14
43.56,4975.98,8854.61,8137.66,132.22
42.18,52.46,2467.21,169.65,3574.53
38.70,45.64,2365.45,9745.83,2664.59
6133.29,3631.07,29.52,150.05,129.95
2401.63,49.98,6298.66,7589.83,131.68
2486.74,2512.04,29.86,2470.31,4741.60
11875.56,2194.54,6559.55,24028.10,127.95
40.15,1195.34,1132.18,8229.64,4615.38
39.89,2265.13,2082.51,162.90,130.00
1970.08,4137.88,9022.71,179.04,132.98
3188.34,46.10,2259.31,4559.88,1320.44
8589.83,8199.59,28.08,2185.80,2479.35
4839.13,2543.30,8936.06,1380.99,1246.42
2335.90,10181.56,2459.58,2568.35,2050.13
6056.99,51.48,6933.96,2576.56,2260.87
7821.94,46.14,2318.01,151.51,3389.97
44.06,3713.11,31.19,2289.07,2374.98
40.20,3502.23,2284.45,5868.47,4442.20
10898.25,,5658.12,6394.73,128.91
7071.27,,7768.83,144.06,2420.68
7503.73,,4499.96,5015.45,130.07
37.76,,,,6733.15
37.80,,,,125.68
37.73,,,,2300.21
37.94,,,,23242.27
6317.18,,,,
3038.65,,,,
