x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
79.30,,78.52,,91.97
77.59,,74.98,,91.73
75.16,,73.90,,90.89
74.55,,76.17,,91.83
76.78,,78.96,,96.31
75.55,,76.59,,98.29
75.36,,77.36,,90.82
75.66,,76.13,,94.31
74.76,,76.85,,90.51
74.55,,76.10,,97.36
75.25,,78.45,,94.92
75.90,,76.69,,101.30
75.15,,74.87,,102.13
74.30,,77.21,,92.98
74.47,,76.67,,91.48
75.32,,75.70,,91.03
75.71,,73.55,,93.19
75.06,,74.89,,90.92
74.77,,74.18,,92.33
77.24,,76.74,,89.50
75.38,,77.95,,92.94
77.19,,76.78,,108.42
75.41,,74.81,,92.51
74.73,,74.62,,91.88
74.25,,75.02,,91.40
76.96,,75.03,,91.07
74.39,,76.11,,102.63
74.92,,82.07,,99.59
75.10,,76.18,,106.48
74.31,,80.39,,90.17
76.65,,73.64,,90.63
75.15,,75.90,,90.00
74.09,,78.15,,91.96
75.25,,75.44,,92.51
75.18,,75.25,,93.01
75.82,,74.90,,91.82
73.67,,74.62,,91.62
74.61,,76.20,,90.65
74.51,,75.79,,90.79
74.84,,78.77,,96.13
81.36,,77.30,,90.37
79.94,,75.14,,90.28
75.21,,75.90,,91.86
75.29,,75.67,,91.26
77.00,,77.25,,92.30
77.34,,75.11,,95.34
74.65,,79.48,,91.86
76.26,,74.85,,90.56
74.49,,74.45,,91.22
