x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
13.84,,13.64,,35.24
13.67,,13.74,,36.26
14.66,,12.53,,37.79
13.03,,13.29,,36.02
14.27,,13.57,,36.26
14.51,,11.79,,36.50
15.22,,13.95,,35.71
12.30,,12.88,,36.27
15.02,,13.88,,36.10
13.29,,12.84,,36.30
14.99,,13.31,,35.64
14.60,,14.01,,35.86
18.07,,12.17,,37.28
14.17,,15.80,,35.82
17.97,,12.32,,39.80
17.29,,15.84,,36.23
17.10,,15.81,,39.00
15.57,,12.85,,41.40
17.07,,15.88,,36.53
12.54,,15.65,,36.51
13.95,,12.17,,35.85
17.98,,14.94,,35.34
13.81,,13.83,,35.89
13.15,,12.58,,37.72
16.87,,12.41,,35.51
14.38,,14.91,,34.87
14.57,,12.45,,37.47
17.79,,13.36,,36.31
16.83,,13.00,,35.13
16.36,,13.36,,36.28
16.76,,13.58,,35.81
18.25,,13.13,,35.38
12.53,,12.55,,40.39
15.75,,13.90,,39.64
16.01,,13.13,,40.00
17.20,,11.99,,41.33
17.37,,12.93,,40.45
16.86,,13.09,,42.55
16.62,,11.94,,39.88
17.59,,13.05,,36.66
13.29,,13.33,,40.61
16.57,,13.80,,39.40
17.74,,15.75,,37.32
18.14,,13.35,,38.82
14.28,,15.08,,38.80
16.88,,15.53,,39.42
13.40,,16.62,,39.14
12.95,,14.20,,35.92
13.64,,13.17,,35.22
