x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
108.52,,108.24,,138.45
107.72,,107.36,,135.38
104.20,,103.68,,140.32
101.24,,101.90,,135.15
109.61,,107.78,,138.11
104.09,,104.51,,144.09
105.98,,107.48,,137.61
99.65,,106.14,,137.44
107.17,,106.58,,140.42
104.59,,100.84,,134.50
101.11,,106.59,,138.40
107.71,,107.10,,137.95
119.14,,116.28,,139.43
110.28,,112.16,,150.02
119.29,,105.71,,154.21
117.71,,120.27,,160.78
119.64,,114.96,,149.15
117.05,,108.77,,152.40
119.87,,126.29,,141.50
116.78,,121.64,,136.37
117.27,,106.54,,137.73
115.75,,120.92,,133.42
115.86,,113.48,,137.87
116.76,,112.58,,141.30
111.86,,115.89,,137.15
122.04,,124.13,,137.52
117.93,,115.49,,142.34
110.73,,101.36,,136.66
114.03,,104.97,,135.63
113.03,,102.50,,140.66
115.62,,105.96,,135.04
119.77,,101.55,,135.19
112.35,,104.01,,156.30
120.41,,106.45,,158.08
118.67,,105.52,,159.94
112.81,,101.00,,147.00
117.75,,106.35,,155.31
118.68,,107.37,,163.18
109.28,,99.56,,154.05
113.92,,107.41,,149.97
116.48,,105.35,,156.49
119.31,,108.05,,153.98
116.45,,110.15,,148.11
113.48,,113.89,,143.15
116.04,,106.71,,150.57
117.34,,118.91,,149.23
112.00,,123.83,,149.55
112.79,,112.86,,140.39
115.68,,103.74,,131.99
