p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
19.55,,12.57,,70.64
19.83,,13.29,,71.92
19.39,,13.59,,77.25
19.18,,11.88,,75.21
16.34,,12.44,,75.53
19.77,,13.12,,75.93
19.64,,12.45,,77.07
17.08,,12.52,,77.29
17.71,,13.65,,75.26
20.02,,13.20,,75.61
18.58,,13.31,,75.63
19.84,,12.33,,75.53
18.73,,15.68,,73.11
18.04,,15.51,,74.52
17.38,,11.96,,74.43
17.86,,14.12,,81.68
16.88,,15.67,,78.45
19.46,,14.59,,74.20
18.98,,14.90,,76.68
17.37,,12.89,,81.66
17.19,,12.85,,86.20
22.29,,13.38,,82.04
21.96,,13.38,,80.40
20.52,,13.10,,85.20
22.72,,12.46,,81.63
22.06,,12.89,,78.60
22.45,,13.30,,79.48
19.52,,11.73,,74.80
21.77,,12.82,,76.18
16.89,,13.37,,80.52
21.91,,13.26,,80.23
22.16,,12.68,,85.49
21.77,,12.84,,78.26
21.90,,13.96,,85.26
20.12,,11.90,,80.34
17.64,,13.34,,79.94
18.15,,12.12,,78.39
22.34,,11.98,,81.28
21.08,,12.24,,79.93
19.43,,12.15,,81.96
21.98,,13.46,,77.99
22.18,,12.38,,77.36
20.17,,12.58,,76.35
19.88,,13.37,,74.52
19.34,,12.61,,75.53
20.91,,12.88,,76.05
18.33,,13.21,,72.90
16.88,,13.29,,73.25
19.16,,13.89,,75.36
