p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
20.33,,13.79,,115.32
27.21,,13.38,,120.75
20.56,,13.15,,113.29
22.13,,12.92,,111.59
21.28,,13.15,,110.95
20.25,,12.85,,116.62
20.77,,13.47,,116.07
21.28,,12.82,,113.02
20.44,,12.81,,113.39
20.72,,13.08,,154.31
20.31,,12.90,,111.74
23.10,,12.91,,114.24
21.43,,13.05,,116.87
20.69,,13.21,,113.86
20.34,,13.26,,120.66
20.02,,15.01,,142.53
20.37,,12.56,,110.82
20.00,,13.34,,118.22
20.34,,12.61,,112.65
20.53,,13.35,,112.51
21.04,,13.04,,112.80
21.83,,12.66,,112.61
22.58,,12.84,,111.67
20.16,,12.99,,114.54
21.19,,12.94,,119.81
20.94,,13.13,,113.36
20.67,,13.03,,114.84
20.26,,13.03,,114.43
20.83,,12.92,,121.68
21.28,,12.55,,134.53
19.94,,13.23,,114.56
21.13,,13.67,,111.92
22.12,,14.56,,114.89
20.32,,13.19,,115.37
19.92,,13.23,,118.91
20.46,,12.65,,116.47
20.23,,12.86,,112.56
20.61,,12.78,,111.43
20.82,,14.15,,112.47
20.06,,13.60,,113.70
20.15,,13.03,,112.68
20.39,,12.95,,112.21
21.06,,12.61,,112.67
21.25,,14.52,,117.98
20.52,,13.17,,114.08
20.94,,12.98,,113.34
20.95,,12.89,,117.17
20.08,,13.14,,112.90
21.14,,13.13,,114.05
