p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
111.24,,113.98,,179.09
116.02,,118.47,,175.79
112.35,,121.82,,180.78
114.42,,115.91,,181.63
110.38,,118.89,,180.42
113.43,,116.68,,185.10
117.21,,119.20,,187.60
112.01,,117.99,,182.79
112.47,,116.70,,183.93
115.23,,119.41,,187.58
108.20,,120.04,,181.92
115.38,,116.61,,175.89
115.39,,136.07,,180.01
113.83,,136.45,,178.63
107.72,,129.05,,190.98
113.51,,135.36,,188.85
112.48,,135.19,,193.86
114.73,,136.09,,194.28
115.34,,122.77,,192.35
110.31,,116.40,,203.76
125.65,,117.16,,208.49
127.71,,117.48,,189.13
128.69,,119.93,,200.03
127.15,,116.29,,189.40
130.08,,113.23,,194.13
134.09,,118.00,,192.44
118.51,,120.02,,191.81
122.49,,115.62,,194.82
122.99,,115.42,,200.29
116.89,,111.96,,197.69
127.77,,120.90,,197.86
127.60,,117.88,,208.27
135.17,,117.10,,192.75
121.84,,118.11,,203.83
123.93,,117.08,,199.07
119.43,,101.98,,202.72
116.95,,121.27,,203.42
130.78,,120.13,,201.25
119.67,,116.92,,207.72
120.84,,118.45,,208.00
122.62,,124.03,,195.26
130.90,,118.70,,188.57
125.29,,115.25,,188.38
121.38,,120.48,,178.48
112.82,,118.00,,180.42
115.15,,116.48,,182.59
121.72,,118.19,,179.37
110.83,,118.03,,178.97
110.81,,116.79,,181.26
