x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
1.91,,1.74,,44.11
2.19,,4.89,,19.49
2.86,,1.68,,12.98
6.32,,2.41,,12.06
2.19,,4.77,,21.62
2.37,,5.00,,44.75
3.31,,1.77,,46.58
2.25,,2.62,,28.83
3.57,,2.52,,15.08
2.24,,3.39,,11.39
3.77,,3.09,,29.26
3.10,,3.82,,12.60
2.05,,1.85,,29.14
2.89,,6.90,,11.43
9.44,,2.36,,2445.30
2.21,,2.20,,2088.30
3.62,,2.03,,2099.72
2.21,,2.40,,13.26
2.79,,1.84,,20.89
2.30,,1.67,,11.79
2.67,,5.35,,30.88
2.45,,4.81,,11.75
2.26,,5.57,,28.55
3.40,,2.76,,29.64
5.02,,5.50,,11.27
5.69,,5.31,,10.74
8.54,,2.16,,11.94
1.95,,2.70,,12.06
5.42,,2.86,,6837.75
3.90,,8.37,,12.09
2.05,,2.35,,21.40
4.72,,3.30,,44.70
3.05,,5.62,,12.09
6.03,,5.73,,19.20
3.00,,3.80,,11.37
2.11,,3.39,,29.67
2.37,,4.96,,28.50
6.04,,7.69,,21.95
3.01,,6.98,,20.03
3.21,,2.08,,13.18
2.63,,4.90,,11.11
5.07,,4.66,,28.59
4.13,,2.12,,2119.90
2.62,,5.45,,29.37
2.60,,1.66,,12.28
2.85,,3.01,,11.92
5.76,,5.02,,10.94
6.97,,3.16,,13.04
1.76,,,,12.31
