x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
5.96,,2.78,,30.46
3.83,,6.11,,27.42
3.44,,2.91,,33.11
3.42,,2.82,,27.57
3.52,,2.68,,29.03
3.87,,3.27,,50.89
3.22,,3.33,,69.98
3.21,,4.88,,31.05
3.22,,3.56,,54.58
4.95,,2.92,,55.06
5.88,,3.13,,49.10
4.19,,2.93,,28.65
3.44,,2.81,,26.70
3.21,,3.15,,29.39
3.12,,2.88,,28.20
3.18,,2.82,,28.41
3.18,,3.17,,27.21
4.46,,3.83,,28.14
3.33,,2.90,,2400.97
3.03,,3.17,,2413.21
3.11,,3.05,,26.96
3.74,,2.79,,27.99
3.85,,2.86,,27.49
4.75,,3.05,,2382.32
4.43,,2.75,,51.68
3.44,,2.80,,27.12
3.62,,2.88,,37.93
3.45,,4.22,,26.52
3.24,,3.72,,27.21
4.59,,3.11,,71.15
3.46,,3.25,,31.43
3.18,,3.25,,30.50
3.13,,3.17,,29.20
3.07,,2.78,,27.13
3.31,,3.05,,27.85
3.24,,3.85,,38.65
3.33,,2.72,,28.18
3.37,,2.92,,32.07
3.34,,3.18,,49.91
4.45,,2.78,,28.49
5.24,,3.02,,27.80
5.99,,3.17,,53.75
3.09,,2.72,,26.53
3.05,,2.84,,27.72
4.16,,3.08,,27.48
2.89,,3.02,,27.74
3.42,,4.05,,27.35
3.02,,2.63,,72.35
3.24,,3.27,,
