x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
2478.51,,1210.25,,5476.61
17.80,,20557.89,,2112.46
16.18,,14.53,,2110.59
17.94,,15.54,,2431.35
6129.60,,29.73,,6183.05
2128.88,,3452.98,,60.30
13.03,,6342.76,,4340.45
1174.54,,2261.07,,12099.16
3738.28,,12.38,,2556.27
13.21,,6749.39,,8223.80
4537.01,,2357.94,,2299.61
15.48,,5646.97,,4834.87
2045.86,,22.49,,59.90
2313.60,,2051.69,,4411.73
2530.86,,2319.02,,2476.23
12.53,,11.65,,6415.82
15.25,,2380.64,,9342.98
2260.57,,15.80,,35.35
15.64,,2508.35,,33.93
2044.31,,12.46,,43.43
2117.51,,5357.27,,63.52
7020.88,,5379.98,,7288.87
2076.45,,27.30,,3468.02
3093.82,,4498.99,,4498.00
2626.16,,2112.99,,1308.01
13035.48,,39.42,,33.01
8928.23,,12.61,,5661.63
4568.51,,1148.47,,10706.32
11070.27,,6296.00,,33.55
31401.54,,12.02,,47.98
5752.05,,20.68,,59.82
1893.18,,2407.19,,42.02
2334.40,,6747.46,,2518.24
1267.01,,13.92,,42.60
2446.80,,13.33,,60.76
2163.43,,9709.10,,2266.07
13.21,,1133.40,,34.50
3553.42,,2286.14,,7978.06
14.54,,12.47,,4559.66
14.12,,3499.17,,2316.94
12.03,,2333.74,,5037.55
15.65,,2213.64,,3668.95
2393.77,,2062.24,,2106.66
12.17,,22.10,,3671.69
5735.22,,2261.33,,4763.70
8329.21,,4667.00,,73.89
4268.41,,1857.29,,4099.68
30.83,,,,
2494.51,,,,
