x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
4418.83,,25.38,,85.18
6960.02,,21.89,,79.62
4696.17,,22.03,,2363.90
21413.56,,21.31,,11074.79
26.15,,30.74,,2461.92
30.09,,23.99,,2540.88
3300.97,,35.81,,3931.13
3277.22,,28.83,,88.34
2354.27,,25.25,,3227.71
4824.11,,22.97,,3459.82
3100.87,,22.02,,10969.78
31.82,,22.56,,2327.67
22.77,,31.46,,5518.73
23.92,,21.84,,81.03
21.59,,22.96,,3354.94
22.39,,22.90,,4281.24
24.28,,28.84,,7497.96
26.35,,23.92,,1340.80
24.17,,30.79,,13121.21
21.28,,24.77,,2468.82
22.44,,21.99,,72.17
25.34,,25.83,,2302.03
24.66,,23.92,,80.42
31.00,,22.32,,7259.26
24.76,,21.39,,81.26
25.02,,22.54,,2176.36
32.14,,31.27,,4529.95
28.96,,28.32,,76.22
23.66,,22.63,,2203.75
30.29,,25.49,,6114.00
23.76,,23.28,,2506.30
23.97,,23.21,,84.85
21.37,,21.24,,1976.65
23.55,,22.03,,6991.96
22.62,,26.94,,1203.54
22.26,,21.69,,4421.38
22.15,,22.53,,8421.91
24.62,,21.90,,28436.93
25.64,,21.52,,2155.65
25.78,,22.18,,5768.02
31.80,,25.54,,4215.96
39.79,,22.46,,5867.69
22.04,,21.99,,1256.29
24.96,,23.64,,6634.93
25.94,,22.44,,71.62
21.35,,24.84,,83.76
24.89,,21.39,,5592.25
22.11,,24.56,,4707.00
23.10,,,,
