p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
12.23,,3.03,,41.89
6.27,,2.64,,42.66
16.60,,1.60,,47.25
6.39,,2.03,,42.18
6.06,,4.13,,39.12
7.86,,5.72,,18.66
7.05,,8.04,,29.13
7.73,,2.08,,19.47
19.82,,2.20,,45.32
6.42,,1.98,,19.47
17.81,,7.80,,18.63
5.35,,5.26,,40.99
6.93,,2.18,,36.25
6.20,,2.30,,23.43
6.68,,2.61,,36.90
20.78,,1.90,,41.65
12.10,,2.41,,19.36
11.89,,1.68,,46.81
5.77,,5.96,,28.54
8.29,,2.09,,29.78
6.46,,2.00,,19.47
7.15,,1.85,,43.15
7.82,,2.01,,18.76
15.00,,10.06,,19.56
18.30,,1.99,,26.63
17.46,,5.28,,2187.63
6.58,,1.72,,18.81
7.36,,8.74,,19.26
17.71,,2.57,,28.89
5.77,,1.68,,41.60
6.16,,6.15,,29.26
6.83,,3.00,,19.58
6.25,,5.46,,29.41
17.77,,3.62,,19.51
17.69,,7.19,,40.43
5.83,,5.14,,18.87
18.56,,6.66,,41.28
19.44,,6.60,,25.44
20.44,,2.78,,2142.77
6.43,,2.45,,19.54
9.47,,2.63,,19.06
7.14,,6.55,,19.64
15.34,,8.72,,21.39
5.26,,4.17,,19.04
6.35,,2.85,,42.52
7.23,,5.24,,42.67
7.03,,6.06,,19.34
17.81,,2.02,,58.23
,,,,36.21
