p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
10.75,,4.96,,50.99
10.07,,3.37,,52.28
10.51,,2.78,,45.16
12.57,,2.53,,51.87
10.80,,2.43,,60.35
10.63,,2.90,,97.08
13.21,,2.98,,54.20
10.88,,2.72,,48.23
10.44,,5.10,,45.13
11.07,,2.65,,48.13
10.14,,2.59,,46.06
10.77,,4.67,,48.34
10.29,,5.67,,46.89
10.18,,3.31,,46.34
10.23,,2.89,,76.69
13.29,,5.94,,46.45
12.87,,3.25,,47.15
10.08,,2.88,,5847.67
10.79,,3.43,,56.47
10.50,,3.06,,46.04
10.75,,3.03,,53.25
10.55,,2.95,,47.31
11.43,,2.68,,49.93
12.21,,2.61,,48.15
10.16,,2.92,,78.30
10.20,,3.06,,48.57
10.25,,6.60,,47.01
10.09,,2.97,,48.94
10.20,,2.50,,46.53
11.06,,2.48,,48.36
10.05,,3.98,,48.21
10.07,,5.07,,48.22
10.23,,5.08,,2165.22
11.85,,2.83,,54.33
10.35,,3.40,,53.54
13.11,,2.89,,49.06
10.48,,2.50,,50.06
10.53,,3.41,,2305.43
10.36,,6.42,,49.18
10.69,,3.21,,51.12
10.08,,2.52,,48.71
13.07,,5.62,,2501.33
11.28,,2.63,,45.74
10.35,,2.91,,45.06
10.11,,5.18,,55.32
10.17,,3.50,,50.81
11.43,,5.51,,5918.24
11.14,,3.04,,47.90
14.90,,,,52.25
