sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_handshake_ms,sd_handshake_ms,median_handshake_ms,q1_handshake_ms,q3_handshake_ms,iqr_handshake_ms,min_handshake_ms,max_handshake_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
ed25519,x25519,100,"5,65","0,19","5,65","5,55","5,72","0,17","5,25","6,58","5,82","0,19","5,81","5,71","5,89","0,18","5,43","6,78","2,24","0,12","2,24","2,16","2,31","0,16","1,97","2,60","39,63","36,13","43,26"
ed25519,mlkem512,100,"6,17","0,24","6,15","6,04","6,26","0,22","5,81","7,21","6,34","0,25","6,31","6,19","6,41","0,22","5,97","7,43","2,86","0,16","2,85","2,76","2,94","0,18","2,59","3,43","46,36","43,84","49,76"
ed25519,x25519_mlkem512,100,"7,40","0,38","7,34","7,20","7,51","0,31","6,93","10,32","7,57","0,38","7,54","7,36","7,70","0,35","7,12","10,43","4,00","0,34","3,96","3,86","4,09","0,24","3,51","6,87","54,00","50,65","66,57"
ed25519,hqc128,100,"12,70","0,64","12,61","12,49","12,73","0,24","12,14","17,88","12,86","0,64","12,77","12,65","12,91","0,26","12,35","18,04","6,85","0,41","6,80","6,71","6,89","0,18","6,46","9,89","53,93","51,17","62,67"
ed25519,x25519_hqc128,100,"13,94","0,58","13,84","13,70","14,02","0,32","13,50","18,36","14,10","0,59","14,01","13,87","14,18","0,31","13,66","18,66","8,00","0,31","7,97","7,84","8,09","0,25","7,62","9,68","57,42","52,72","59,06"
secp384r1,x448,100,"8,87","0,20","8,86","8,71","8,99","0,28","8,41","9,93","9,04","0,21","9,02","8,88","9,15","0,28","8,55","10,12","4,64","0,16","4,63","4,53","4,72","0,19","4,26","5,43","52,28","49,88","54,68"
secp384r1,mlkem768,100,"9,08","0,22","9,05","8,92","9,18","0,26","8,70","9,78","9,25","0,22","9,23","9,09","9,35","0,26","8,87","9,96","5,10","0,16","5,08","4,99","5,20","0,21","4,81","5,47","56,19","54,12","58,02"
secp384r1,x448_mlkem768,100,"10,93","0,22","10,93","10,80","11,06","0,26","10,39","11,59","11,11","0,23","11,11","10,99","11,26","0,27","10,54","11,86","6,51","0,19","6,50","6,39","6,62","0,23","6,07","6,90","59,51","57,44","60,99"
secp384r1,hqc192,100,"27,07","0,27","27,04","26,89","27,20","0,31","26,48","28,16","27,25","0,27","27,23","27,09","27,38","0,30","26,73","28,30","15,95","0,20","15,93","15,81","16,10","0,29","15,56","16,51","58,94","57,92","59,97"
secp384r1,x448_hqc192,100,"29,04","0,24","29,05","28,88","29,19","0,32","28,53","29,97","29,23","0,26","29,21","29,07","29,39","0,32","28,73","30,11","17,51","0,20","17,51","17,36","17,63","0,27","17,11","17,99","60,28","59,09","61,32"
secp521r1,P-521,100,"17,58","0,24","17,56","17,42","17,70","0,28","17,12","18,66","17,75","0,24","17,73","17,59","17,90","0,31","17,26","18,81","10,15","0,17","10,14","10,04","10,21","0,18","9,86","10,65","57,75","56,81","59,40"
secp521r1,mlkem1024,100,"12,79","0,25","12,74","12,62","12,92","0,30","12,28","13,88","12,97","0,26","12,92","12,79","13,07","0,28","12,46","14,03","7,86","0,20","7,82","7,74","7,97","0,23","7,43","8,85","61,44","59,61","64,07"
secp521r1,p521_mlkem1024,100,"23,68","0,82","23,55","23,41","23,68","0,27","23,07","30,79","23,86","0,83","23,73","23,59","23,85","0,26","23,25","30,99","14,23","0,60","14,14","14,03","14,25","0,22","13,75","19,63","60,06","57,66","63,75"
secp521r1,hqc256,100,"45,68","0,56","45,55","45,41","45,75","0,34","44,97","49,24","45,86","0,56","45,73","45,61","45,96","0,36","45,22","49,36","28,09","0,37","28,05","27,90","28,22","0,32","27,56","30,69","61,50","59,05","62,33"
secp521r1,p521_hqc256,100,"56,38","0,55","56,29","56,13","56,52","0,39","55,52","60,07","56,58","0,55","56,50","56,34","56,69","0,35","55,72","60,28","34,47","0,36","34,41","34,30","34,60","0,30","33,91","36,47","61,13","59,96","62,02"
