sig_alg,kem_alg,n_exec,mean_ssl_connect_ms,sd_ssl_connect_ms,median_ssl_connect_ms,q1_ssl_connect_ms,q3_ssl_connect_ms,iqr_ssl_connect_ms,min_ssl_connect_ms,max_ssl_connect_ms,mean_handshake_ms,sd_handshake_ms,median_handshake_ms,q1_handshake_ms,q3_handshake_ms,iqr_handshake_ms,min_handshake_ms,max_handshake_ms,mean_crypto_ms,sd_crypto_ms,median_crypto_ms,q1_crypto_ms,q3_crypto_ms,iqr_crypto_ms,min_crypto_ms,max_crypto_ms,mean_crypto_pct,mean_crypto_pct_min,mean_crypto_pct_max
ed25519,x25519,100,"6,50","0,64","6,36","6,08","6,74","0,65","5,74","9,32","6,69","0,67","6,54","6,27","6,91","0,64","5,91","9,68","2,67","0,30","2,58","2,47","2,79","0,32","2,29","3,98","41,05","37,41","48,90"
ed25519,mlkem512,100,"7,30","0,57","7,16","6,96","7,57","0,61","6,38","9,38","7,50","0,59","7,36","7,15","7,78","0,63","6,56","9,61","3,44","0,28","3,43","3,24","3,61","0,37","2,94","4,32","47,10","42,61","50,71"
ed25519,x25519_mlkem512,100,"8,37","0,50","8,27","8,04","8,61","0,57","7,45","10,27","8,56","0,51","8,46","8,23","8,80","0,57","7,62","10,45","4,45","0,30","4,41","4,23","4,63","0,40","3,92","5,56","53,17","48,92","56,23"
ed25519,hqc128,99,"25,55","2,88","24,75","24,08","26,07","1,99","22,78","43,62","25,77","2,91","24,98","24,27","26,29","2,02","23,02","44,06","14,13","1,67","13,75","13,32","14,45","1,14","12,63","25,66","55,31","47,14","61,51"
ed25519,x25519_hqc128,100,"26,22","2,47","25,57","25,07","26,27","1,20","23,99","38,65","26,43","2,49","25,76","25,26","26,50","1,24","24,18","38,99","15,04","1,77","14,62","14,22","15,01","0,79","13,61","25,26","57,30","51,55","65,36"
secp384r1,x448,100,"13,18","2,33","12,39","11,97","13,41","1,44","11,49","25,26","13,40","2,38","12,59","12,17","13,66","1,49","11,67","25,78","7,31","1,33","6,86","6,66","7,28","0,62","6,37","14,75","55,43","46,90","63,83"
secp384r1,mlkem768,100,"12,84","1,37","12,50","12,04","13,20","1,16","11,32","21,60","13,06","1,40","12,70","12,27","13,41","1,14","11,49","22,05","7,48","0,96","7,21","6,97","7,57","0,60","6,56","12,99","58,19","53,29","66,14"
secp384r1,x448_mlkem768,100,"16,23","1,55","15,75","15,01","16,98","1,97","14,00","20,02","16,45","1,57","15,96","15,25","17,24","1,99","14,18","20,31","9,66","1,10","9,22","8,89","9,98","1,09","8,29","12,99","59,44","52,07","65,33"
secp384r1,hqc192,100,"63,22","3,39","62,25","61,27","64,10","2,83","59,38","80,61","63,43","3,41","62,47","61,46","64,32","2,86","59,55","80,83","37,52","2,65","36,66","35,96","37,85","1,89","34,90","55,03","59,32","51,45","68,27"
secp384r1,x448_hqc192,100,"67,67","5,30","65,70","64,56","68,48","3,92","62,46","94,33","67,91","5,33","65,93","64,78","68,80","4,02","62,65","94,59","40,14","3,31","38,92","38,26","40,66","2,40","37,23","57,05","59,34","52,59","68,19"
secp521r1,P-521,99,"30,06","1,74","29,73","29,09","30,54","1,45","27,73","39,25","30,28","1,75","29,92","29,31","30,75","1,44","27,92","39,55","17,68","1,15","17,49","17,10","18,10","1,00","16,23","24,14","58,83","50,14","63,28"
secp521r1,mlkem1024,100,"20,18","2,17","19,37","18,95","20,74","1,80","17,99","30,15","20,44","2,19","19,62","19,14","21,00","1,86","18,15","30,46","12,93","1,46","12,43","12,13","13,11","0,98","11,62","20,16","64,08","57,12","70,76"
secp521r1,p521_mlkem1024,100,"41,33","2,58","40,86","39,66","42,15","2,48","37,76","52,08","41,55","2,60","41,08","39,86","42,38","2,52","37,96","52,43","24,91","1,75","24,58","23,89","25,31","1,43","22,60","32,30","60,28","52,99","64,79"
secp521r1,hqc256,99,"112,98","7,32","110,32","108,80","113,23","4,43","106,19","145,34","113,21","7,34","110,54","109,00","113,47","4,48","106,40","145,60","68,59","5,60","66,78","65,62","68,62","3,00","64,01","99,55","60,69","51,73","68,49"
secp521r1,p521_hqc256,99,"132,95","8,15","130,54","128,69","133,54","4,85","126,23","184,64","133,16","8,15","130,77","128,89","133,75","4,87","126,45","184,85","79,67","4,74","78,11","77,03","79,91","2,88","74,37","96,91","59,95","51,17","64,63"
