signature,run,sign,verify
ed25519,1,0.023,0.075
ed25519,2,0.024,0.074
ed25519,3,0.024,0.075
ed25519,4,0.024,0.074
ed25519,5,0.024,0.082
ed25519,6,0.024,0.076
ed25519,7,0.024,0.076
ed25519,8,0.024,0.076
ed25519,9,0.024,0.076
ed25519,10,0.024,0.076
ed25519,11,0.024,0.076
ed25519,12,0.024,0.076
ed25519,13,0.024,0.076
ed25519,14,0.024,0.077
ed25519,15,0.024,0.076
ed25519,16,0.024,0.076
ed25519,17,0.024,0.084
ed25519,18,0.024,0.077
ed25519,19,0.024,0.077
ed25519,20,0.024,0.075
ed25519,21,0.024,0.077
ed25519,22,0.024,0.076
ed25519,23,0.024,0.076
ed25519,24,0.024,0.076
ed25519,25,0.024,0.076
ed25519,26,0.024,0.077
ed25519,27,0.024,0.076
ed25519,28,0.024,0.076
ed25519,29,0.024,0.077
ed25519,30,0.024,0.078
ed25519,31,0.026,0.078
ed25519,32,0.024,0.078
ed25519,33,0.024,0.077
ed25519,34,0.024,0.076
ed25519,35,0.024,0.076
ed25519,36,0.024,0.077
ed25519,37,0.024,0.076
ed25519,38,0.024,0.077
ed25519,39,0.024,0.078
ed25519,40,0.024,0.077
ed25519,41,0.024,0.076
ed25519,42,0.024,0.078
ed25519,43,0.025,0.077
ed25519,44,0.024,0.079
ed25519,45,0.025,0.077
ed25519,46,0.024,0.078
ed25519,47,0.024,0.077
ed25519,48,0.024,0.077
ed25519,49,0.024,0.078
ed25519,50,0.024,0.079
ecdsap384,1,0.558,0.471
ecdsap384,2,0.564,0.465
ecdsap384,3,0.559,0.475
ecdsap384,4,0.56,0.476
ecdsap384,5,0.558,0.47
ecdsap384,6,0.56,0.474
ecdsap384,7,0.559,0.473
ecdsap384,8,0.564,0.47
ecdsap384,9,0.565,0.466
ecdsap384,10,0.57,0.47
ecdsap384,11,0.563,0.473
ecdsap384,12,0.564,0.469
ecdsap384,13,0.563,0.471
ecdsap384,14,0.566,0.482
ecdsap384,15,0.557,0.47
ecdsap384,16,0.557,0.472
ecdsap384,17,0.564,0.492
ecdsap384,18,0.56,0.465
ecdsap384,19,0.56,0.475
ecdsap384,20,0.561,0.465
ecdsap384,21,0.566,0.46
ecdsap384,22,0.557,0.473
ecdsap384,23,0.556,0.475
ecdsap384,24,0.559,0.478
ecdsap384,25,0.558,0.472
ecdsap384,26,0.565,0.475
ecdsap384,27,0.572,0.477
ecdsap384,28,0.559,0.473
ecdsap384,29,0.558,0.466
ecdsap384,30,0.602,0.469
ecdsap384,31,0.566,0.48
ecdsap384,32,0.561,0.47
ecdsap384,33,0.564,0.472
ecdsap384,34,0.558,0.464
ecdsap384,35,0.555,0.463
ecdsap384,36,0.557,0.46
ecdsap384,37,0.555,0.478
ecdsap384,38,0.562,0.474
ecdsap384,39,0.556,0.467
ecdsap384,40,0.563,0.471
ecdsap384,41,0.564,0.466
ecdsap384,42,0.566,0.461
ecdsap384,43,0.565,0.467
ecdsap384,44,0.562,0.467
ecdsap384,45,0.567,0.473
ecdsap384,46,0.557,0.465
ecdsap384,47,0.564,0.466
ecdsap384,48,0.563,0.463
ecdsap384,49,0.563,0.465
ecdsap384,50,0.557,0.47
ecdsap521,1,1.404,1.089
ecdsap521,2,1.385,1.094
ecdsap521,3,1.416,1.09
ecdsap521,4,1.411,1.083
ecdsap521,5,1.401,1.092
ecdsap521,6,1.417,1.092
ecdsap521,7,1.407,1.085
ecdsap521,8,1.383,1.086
ecdsap521,9,1.38,1.088
ecdsap521,10,1.391,1.105
ecdsap521,11,1.428,1.096
ecdsap521,12,1.424,1.085
ecdsap521,13,1.394,1.101
ecdsap521,14,1.382,1.113
ecdsap521,15,1.387,1.101
ecdsap521,16,1.387,1.112
ecdsap521,17,1.387,1.093
ecdsap521,18,1.405,1.092
ecdsap521,19,1.432,1.171
ecdsap521,20,1.391,1.104
ecdsap521,21,1.485,1.091
ecdsap521,22,1.413,1.114
ecdsap521,23,1.389,1.106
ecdsap521,24,1.41,1.093
ecdsap521,25,1.41,1.091
ecdsap521,26,1.411,1.083
ecdsap521,27,1.418,1.095
ecdsap521,28,1.389,1.336
ecdsap521,29,1.41,1.096
ecdsap521,30,1.401,1.13
ecdsap521,31,1.441,1.087
ecdsap521,32,1.41,1.087
ecdsap521,33,1.412,1.088
ecdsap521,34,1.423,1.092
ecdsap521,35,1.404,1.112
ecdsap521,36,1.399,1.094
ecdsap521,37,1.417,1.092
ecdsap521,38,1.397,1.097
ecdsap521,39,1.382,1.105
ecdsap521,40,1.381,1.098
ecdsap521,41,1.402,1.094
ecdsap521,42,1.405,1.083
ecdsap521,43,1.418,1.099
ecdsap521,44,1.399,1.105
ecdsap521,45,1.388,1.111
ecdsap521,46,1.384,1.076
ecdsap521,47,1.403,1.105
ecdsap521,48,1.404,1.106
ecdsap521,49,1.4,1.104
ecdsap521,50,1.41,1.096
