signature,run,sign,verify
ed25519,1,0.047,0.153
ed25519,2,0.047,0.155
ed25519,3,0.048,0.153
ed25519,4,0.047,0.157
ed25519,5,0.048,0.157
ed25519,6,0.048,0.157
ed25519,7,0.047,0.156
ed25519,8,0.048,0.154
ed25519,9,0.048,0.159
ed25519,10,0.048,0.155
ed25519,11,0.047,0.155
ed25519,12,0.047,0.154
ed25519,13,0.047,0.155
ed25519,14,0.048,0.157
ed25519,15,0.047,0.154
ed25519,16,0.048,0.156
ed25519,17,0.048,0.154
ed25519,18,0.047,0.158
ed25519,19,0.046,0.156
ed25519,20,0.047,0.158
ed25519,21,0.048,0.156
ed25519,22,0.048,0.153
ed25519,23,0.048,0.156
ed25519,24,0.047,0.157
ed25519,25,0.048,0.154
ed25519,26,0.048,0.154
ed25519,27,0.047,0.155
ed25519,28,0.047,0.153
ed25519,29,0.048,0.156
ed25519,30,0.047,0.159
ed25519,31,0.048,0.159
ed25519,32,0.048,0.159
ed25519,33,0.048,0.156
ed25519,34,0.048,0.155
ed25519,35,0.048,0.158
ed25519,36,0.047,0.156
ed25519,37,0.047,0.158
ed25519,38,0.048,0.157
ed25519,39,0.048,0.156
ed25519,40,0.047,0.154
ed25519,41,0.048,0.157
ed25519,42,0.048,0.154
ed25519,43,0.048,0.157
ed25519,44,0.047,0.157
ed25519,45,0.048,0.154
ed25519,46,0.048,0.157
ed25519,47,0.048,0.156
ed25519,48,0.048,0.153
ed25519,49,0.048,0.155
ed25519,50,0.047,0.157
ecdsap384,1,1.269,1.025
ecdsap384,2,1.262,1.044
ecdsap384,3,1.25,1.027
ecdsap384,4,1.265,1.04
ecdsap384,5,1.233,1.029
ecdsap384,6,1.247,1.02
ecdsap384,7,1.254,1.022
ecdsap384,8,1.245,1.05
ecdsap384,9,1.254,1.028
ecdsap384,10,1.237,1.041
ecdsap384,11,1.241,1.034
ecdsap384,12,1.281,1.029
ecdsap384,13,1.257,1.05
ecdsap384,14,1.236,1.04
ecdsap384,15,1.265,1.026
ecdsap384,16,1.245,1.03
ecdsap384,17,1.243,1.04
ecdsap384,18,1.235,1.03
ecdsap384,19,1.246,1.021
ecdsap384,20,1.229,1.03
ecdsap384,21,1.251,1.034
ecdsap384,22,1.265,1.027
ecdsap384,23,1.256,1.016
ecdsap384,24,1.243,1.047
ecdsap384,25,1.277,1.017
ecdsap384,26,1.266,1.037
ecdsap384,27,1.252,1.039
ecdsap384,28,1.252,1.034
ecdsap384,29,1.273,1.051
ecdsap384,30,1.263,1.036
ecdsap384,31,1.256,1.032
ecdsap384,32,1.261,1.016
ecdsap384,33,1.257,1.042
ecdsap384,34,1.252,1.045
ecdsap384,35,1.262,1.022
ecdsap384,36,1.234,1.033
ecdsap384,37,1.257,1.025
ecdsap384,38,1.234,1.033
ecdsap384,39,1.252,1.038
ecdsap384,40,1.26,1.04
ecdsap384,41,1.247,1.04
ecdsap384,42,1.244,1.054
ecdsap384,43,1.261,1.009
ecdsap384,44,1.249,1.046
ecdsap384,45,1.278,1.043
ecdsap384,46,1.259,1.039
ecdsap384,47,1.255,1.044
ecdsap384,48,1.265,1.048
ecdsap384,49,1.239,1.027
ecdsap384,50,1.244,1.032
ecdsap521,1,3.017,2.334
ecdsap521,2,3.062,2.342
ecdsap521,3,2.969,2.319
ecdsap521,4,3.027,2.384
ecdsap521,5,2.977,2.334
ecdsap521,6,2.998,2.351
ecdsap521,7,3.007,2.332
ecdsap521,8,2.985,2.357
ecdsap521,9,2.999,2.397
ecdsap521,10,3.053,2.374
ecdsap521,11,2.952,2.387
ecdsap521,12,3.01,2.296
ecdsap521,13,3.161,2.457
ecdsap521,14,3.113,2.437
ecdsap521,15,3.025,2.339
ecdsap521,16,2.974,2.334
ecdsap521,17,2.975,2.35
ecdsap521,18,2.987,2.305
ecdsap521,19,2.966,2.344
ecdsap521,20,3.076,2.368
ecdsap521,21,2.975,2.368
ecdsap521,22,2.959,2.33
ecdsap521,23,2.992,2.371
ecdsap521,24,3.023,2.3
ecdsap521,25,3.078,2.358
ecdsap521,26,3.016,2.374
ecdsap521,27,2.95,2.337
ecdsap521,28,3.022,2.335
ecdsap521,29,2.983,2.355
ecdsap521,30,2.951,2.34
ecdsap521,31,3.041,2.392
ecdsap521,32,2.988,2.321
ecdsap521,33,2.976,2.329
ecdsap521,34,2.966,2.316
ecdsap521,35,3.042,2.401
ecdsap521,36,3.003,2.32
ecdsap521,37,2.99,2.3
ecdsap521,38,2.978,2.364
ecdsap521,39,2.96,2.311
ecdsap521,40,2.974,2.35
ecdsap521,41,3.026,2.36
ecdsap521,42,2.939,2.29
ecdsap521,43,2.949,2.314
ecdsap521,44,2.964,2.364
ecdsap521,45,2.937,2.321
ecdsap521,46,2.982,2.327
ecdsap521,47,3.05,2.402
ecdsap521,48,3.052,2.384
ecdsap521,49,2.963,2.378
ecdsap521,50,3.013,2.398
