x448,mlkem768,hqc192
1.99,1.47,20.25
1.56,1.44,19.99
2.0,1.42,19.68
2.39,1.95,19.6
1.91,1.4,19.69
1.86,1.79,20.75
1.49,1.94,19.96
1.69,1.42,19.67
2.2,1.59,19.62
1.5,1.22,20.32
1.5,1.84,19.77
1.95,1.6,19.6
2.02,1.74,19.51
1.44,1.51,19.95
1.68,1.4,19.63
2.29,1.7,19.74
1.51,1.7,19.47
1.96,1.28,19.92
2.5,1.33,19.67
1.92,1.7,19.87
1.69,1.43,20.81
1.72,2.32,20.02
2.84,1.29,19.61
2.49,1.68,20.01
1.76,1.36,19.96
2.35,1.8,19.67
1.8,2.11,20.2
1.71,1.65,19.92
2.17,1.19,19.75
1.49,1.25,19.87
1.81,1.35,20.24
2.25,1.51,19.88
1.54,1.57,19.64
1.57,1.46,20.07
2.18,1.87,19.61
2.05,1.68,19.73
1.51,1.2,19.64
2.08,1.54,20.3
1.72,1.22,20.17
1.74,1.53,19.79
2.4,2.49,19.7
1.58,1.48,19.74
2.01,1.97,19.83
2.39,1.42,20.09
1.86,1.73,20.01
1.9,1.44,19.87
2.21,3.54,20.09
1.45,2.32,19.73
1.52,1.55,19.73
1.83,1.27,19.87
2.39,2.93,20.03
2.08,1.22,19.87
2.13,2.26,19.86
1.95,1.78,20.86
1.47,1.29,19.79
1.7,1.73,19.89
1.7,1.9,19.97
2.18,1.5,20.1
1.73,2.18,19.79
1.88,1.16,19.78
2.08,1.21,20.29
1.5,1.17,19.82
1.77,1.87,20.87
1.58,2.12,20.12
2.74,2.21,19.77
1.74,1.21,19.59
1.7,1.91,19.79
1.92,2.2,19.86
1.73,1.62,19.88
1.92,1.64,19.92
1.89,1.29,19.63
2.62,1.33,19.79
1.73,1.45,20.16
1.88,1.48,20.18
2.12,1.22,20.23
1.81,2.08,20.66
1.85,1.95,19.9
2.03,1.27,20.48
1.87,1.62,20.55
1.52,1.27,20.02
1.92,1.26,19.59
2.1,3.13,19.66
2.01,1.58,19.7
3.07,1.5,19.7
2.25,1.54,20.19
1.76,1.34,19.62
1.55,1.73,19.79
2.5,1.27,19.89
2.07,2.0,20.03
1.61,1.34,19.88
1.92,1.21,19.92
2.09,1.83,19.91
2.26,1.19,19.9
2.16,1.74,19.96
1.87,2.07,20.51
1.75,1.64,19.63
1.51,1.18,19.71
1.57,1.66,20.18
1.62,1.21,20.04
1.58,1.32,20.25
1.48,1.53,21.0
2.36,1.31,20.12
1.58,1.65,20.08
1.82,2.16,19.76
1.75,1.57,19.98
2.31,1.47,19.77
1.99,2.07,20.07
1.6,1.27,20.15
1.92,1.43,19.83
2.45,1.87,19.91
