x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
12.83,14.09,12.13,88.81,88.32
7.83,14.44,8.24,96.43,3630.59
8.18,13.6,10.4,89.31,89.15
12.68,14.03,12.36,57.79,58.29
8.14,15.46,8.82,88.7,95.06
8.26,10.24,12.03,92.41,60.07
12.61,13.96,9.6,59.38,94.57
8.25,16.01,9.13,97.78,64.52
13.53,12.53,12.91,57.4,91.94
13.15,15.73,7.72,89.97,61.5
7.89,13.35,11.45,93.0,95.33
14.14,15.73,12.31,95.06,76.91
7.76,15.32,7.83,94.91,89.52
11.54,10.59,11.33,97.44,95.61
13.45,12.57,11.58,88.44,58.31
9.54,15.62,8.45,89.48,73.31
13.11,9.74,11.49,89.97,56.84
12.67,13.89,7.45,95.75,90.06
13.01,15.99,7.24,79.49,94.22
9.23,9.08,8.7,86.57,61.12
11.8,14.9,11.66,78.82,63.9
7.95,15.45,8.68,81.92,62.07
7.96,12.63,12.44,78.57,85.85
13.77,14.76,7.92,77.34,87.38
8.13,9.72,8.51,91.47,55.28
7.9,15.38,11.25,57.71,88.66
12.93,10.32,7.35,91.97,89.77
9.64,15.84,11.59,57.99,81.94
13.83,8.95,11.51,96.24,62.94
7.79,15.55,11.65,94.31,94.81
8.94,10.66,11.64,59.08,56.49
12.08,14.91,7.27,94.08,71.32
8.36,13.11,12.78,95.9,56.63
7.67,14.16,10.79,97.08,89.04
13.34,13.74,11.75,93.37,60.91
12.42,13.96,12.54,93.74,91.92
9.16,9.75,12.39,94.83,62.05
9.06,9.04,7.44,97.06,84.99
12.4,9.52,11.25,91.59,60.51
7.97,14.4,8.76,60.79,68.8
12.54,13.57,11.25,89.4,79.65
7.64,15.81,11.69,72.26,87.17
12.73,12.46,8.75,93.54,70.09
13.12,14.02,11.93,91.54,58.1
12.21,9.14,8.57,62.9,96.48
7.96,14.46,11.41,95.01,57.82
12.78,13.75,11.71,77.56,69.66
12.41,14.24,11.53,62.0,91.29
8.3,11.87,8.75,84.09,94.83
7.68,14.45,12.21,63.68,57.46
12.86,9.27,10.83,82.95,56.78
8.86,9.1,12.78,62.83,69.73
14.16,14.37,7.62,62.53,62.52
12.8,8.96,11.85,69.65,89.96
8.99,14.6,7.61,85.35,57.46
13.1,9.14,8.25,99.51,72.81
8.23,14.2,11.98,94.24,61.34
12.52,14.96,9.53,89.06,92.76
9.31,14.0,11.9,92.81,55.32
14.29,9.21,7.58,88.45,92.68
13.72,15.67,11.56,88.47,77.95
12.41,12.26,8.4,90.46,61.32
10.11,14.71,12.13,61.52,67.45
12.93,9.11,8.38,89.6,55.01
12.69,15.96,12.91,87.68,73.17
7.83,11.86,8.67,76.43,65.4
8.42,15.67,11.45,99.57,55.95
14.11,13.33,8.57,87.88,68.94
7.87,15.03,11.67,94.13,58.56
8.44,10.55,7.89,90.66,82.93
13.88,15.15,11.58,97.65,57.24
8.14,10.09,8.01,89.69,59.43
12.98,9.32,13.06,97.74,96.67
9.74,14.9,7.9,3662.04,62.0
12.2,9.37,11.9,88.32,55.57
8.67,14.38,12.88,97.42,92.16
12.81,9.1,12.46,59.75,56.31
12.96,9.43,12.21,95.72,58.5
7.8,9.22,7.24,88.08,90.15
7.85,14.07,12.66,62.18,62.81
13.41,9.36,8.63,88.17,96.6
7.88,12.13,11.8,89.92,56.23
13.92,9.31,12.14,96.23,57.05
12.31,9.03,8.9,63.76,85.43
12.48,8.96,11.45,91.27,59.07
12.01,11.65,8.33,100.0,96.0
13.24,9.38,11.84,93.66,56.55
7.8,15.16,8.57,90.83,86.26
13.98,9.33,8.1,77.33,60.09
13.85,9.61,11.99,96.87,64.44
7.82,9.18,7.4,62.54,57.41
12.95,9.51,12.68,93.57,96.38
14.11,8.91,11.43,77.45,57.71
7.88,9.03,9.44,75.1,59.07
11.83,9.43,11.71,94.27,55.72
13.59,13.95,7.39,93.45,59.58
