P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
14.13,18.94,8.04,52.3,41.93
12.44,16.07,7.26,49.35,39.63
11.88,15.87,7.01,49.48,41.75
11.78,16.04,6.95,49.16,39.87
12.04,16.04,6.79,49.25,39.72
12.02,16.06,7.01,48.97,40.19
11.84,16.07,6.95,49.28,39.66
11.96,16.23,6.88,49.38,39.97
11.97,16.39,6.89,49.14,39.49
11.95,15.89,6.87,49.54,39.84
12.05,15.76,6.83,49.26,39.98
12.26,16.03,6.89,49.05,39.91
11.91,15.91,6.82,49.18,39.82
12.07,16.14,6.87,49.11,39.91
11.8,15.97,6.95,49.36,40.38
11.85,16.02,7.0,49.0,39.78
11.89,16.11,6.89,49.37,39.83
11.9,15.97,6.86,49.57,39.73
12.05,16.08,6.91,49.61,39.7
11.89,16.0,6.89,49.23,39.72
12.25,16.04,6.82,49.04,39.66
11.78,16.05,6.86,49.15,39.99
11.92,15.95,6.84,49.33,40.17
12.01,16.08,6.92,49.04,39.69
11.92,16.13,6.85,49.2,40.08
11.98,15.96,6.88,49.04,39.95
11.98,16.07,6.9,49.44,39.84
11.98,16.09,6.83,49.41,40.03
11.94,15.98,6.9,49.04,39.76
11.95,16.09,6.88,49.44,39.84
12.32,16.02,7.03,49.1,40.37
11.9,15.87,6.85,49.25,39.58
12.04,15.88,6.95,49.12,40.26
11.98,16.08,6.78,49.1,39.88
11.89,15.95,6.89,49.27,40.06
11.99,16.11,6.9,48.92,39.6
11.98,16.03,6.87,49.48,40.41
12.01,16.13,6.76,49.07,39.52
11.87,16.0,6.88,49.17,40.24
11.89,15.9,6.83,49.02,39.58
11.82,16.02,6.88,49.29,39.89
11.87,16.02,6.94,49.01,39.75
11.94,15.97,6.84,49.33,41.03
11.85,16.0,6.87,49.04,42.45
11.95,16.03,6.84,49.24,42.51
11.95,16.03,6.77,49.16,42.78
12.01,16.15,6.88,49.17,42.47
12.0,16.01,6.82,49.12,42.7
11.98,15.89,6.89,49.2,42.79
12.03,16.05,6.83,49.43,42.81
12.03,16.18,6.84,48.92,42.76
11.9,16.0,6.92,49.06,42.25
11.91,16.09,6.83,48.87,39.39
11.95,15.93,6.84,48.61,41.41
11.93,16.04,6.9,49.13,42.13
12.46,16.08,6.79,49.12,39.43
11.93,16.0,6.88,49.03,39.92
12.16,16.04,6.95,49.1,39.42
12.28,15.93,6.87,48.66,39.97
12.05,16.05,6.83,48.78,40.35
11.9,16.06,7.05,48.91,39.48
11.91,16.04,6.86,48.59,39.67
11.93,16.15,6.8,48.51,39.77
11.92,15.89,7.03,48.81,41.7
11.98,16.03,6.87,48.85,44.53
12.02,15.96,6.88,48.61,43.85
11.89,16.15,6.9,48.97,43.96
11.97,16.02,6.91,49.17,43.84
11.87,15.97,6.76,49.12,43.96
12.47,16.5,6.91,48.91,43.37
11.8,15.94,6.81,48.7,44.4
11.93,16.12,6.89,48.8,44.22
11.96,15.99,6.88,48.92,43.91
12.13,15.99,6.95,49.08,44.0
11.78,16.04,6.79,48.95,44.03
11.8,15.9,7.02,48.88,39.55
11.93,16.17,6.81,48.77,40.61
12.15,16.12,6.79,48.83,39.79
11.94,15.88,6.83,48.98,40.07
11.78,15.88,6.85,48.88,40.7
11.96,16.06,6.77,48.88,39.63
11.9,16.09,6.91,49.27,40.06
11.9,16.11,6.82,48.99,39.32
11.93,15.98,6.89,49.05,39.79
11.79,15.96,6.89,49.16,39.69
12.5,15.96,6.81,48.87,39.5
11.8,16.12,6.87,50.95,39.51
11.89,15.99,6.85,48.97,39.87
11.77,16.08,6.9,49.08,39.56
11.91,15.89,6.82,49.12,39.59
11.86,16.0,6.96,48.89,39.36
11.81,15.95,7.03,49.22,39.82
11.91,16.04,6.89,48.91,39.77
11.94,15.98,6.88,49.2,39.5
11.96,16.22,6.73,49.02,39.5
11.9,16.0,6.9,48.68,39.59
