x448,mlkem768,hqc192
3.28,2.76,52.36
3.72,2.41,54.57
3.12,2.65,51.0
3.31,2.2,53.08
3.68,2.34,50.87
3.61,2.06,53.15
3.22,2.52,52.65
3.11,2.39,55.94
3.53,2.4,52.77
3.27,2.38,51.24
2.91,2.29,52.68
4.05,2.18,53.98
2.91,2.22,51.78
2.67,2.32,51.52
2.8,3.25,54.63
3.16,2.17,51.77
3.0,2.58,53.76
3.04,2.63,52.37
2.73,2.35,53.31
2.96,2.46,52.91
2.63,2.64,52.65
3.09,2.31,51.13
2.89,2.43,52.57
2.64,2.23,52.87
2.72,2.38,51.28
2.91,2.6,51.39
2.95,2.21,52.11
4.33,2.31,52.71
3.08,2.13,51.0
3.64,2.18,54.14
3.31,2.05,53.39
2.88,2.09,50.76
2.76,2.05,55.57
2.88,2.39,51.33
2.83,2.97,61.71
2.97,2.22,3622.68
2.86,2.19,54.56
2.91,2.26,50.85
2.87,2.15,54.18
2.96,2.04,50.62
3.46,2.33,51.44
2.79,2.38,50.77
3.1,2.38,52.86
3.06,2.24,52.9
3.09,2.19,51.34
3.25,2.23,52.92
3.18,3.23,51.77
3.1,2.35,53.09
3.88,2.21,51.23
3.18,2.33,51.59
3.08,2.17,50.78
3.08,2.31,50.73
3.05,2.23,50.7
2.85,2.25,53.14
3.0,2.32,51.76
3.93,2.18,50.57
2.95,2.29,50.92
3.04,2.33,52.18
2.96,2.34,52.01
2.96,2.27,52.55
3.11,2.34,50.85
3.31,2.04,51.08
4.38,2.36,51.84
3.13,2.13,50.68
3.02,2.09,50.5
3.15,2.47,50.7
3.02,2.33,51.11
3.05,2.59,51.24
2.89,2.49,51.53
2.9,2.36,83.44
3.43,2.32,50.8
3.33,2.43,50.69
3.47,2.19,50.98
3.19,2.19,50.59
2.92,2.56,51.05
2.72,2.46,50.8
2.91,2.26,50.92
2.72,2.21,50.7
3.07,2.13,51.43
2.97,2.29,53.1
2.85,2.33,52.44
2.99,2.24,52.26
3.72,2.16,50.58
2.81,2.19,50.62
2.85,2.18,50.41
2.97,2.39,50.71
3.84,2.05,50.91
3.05,2.23,50.32
2.72,2.43,50.37
2.98,2.27,51.98
3.19,3.21,50.66
3.56,2.23,60.73
2.76,2.09,55.28
3.39,2.24,51.4
2.77,2.51,50.61
3.93,2.63,50.4
3.03,2.28,50.61
3.18,2.37,50.48
3.17,2.46,51.55
3.15,3.07,51.77
3.23,2.45,50.84
2.95,2.19,51.77
2.83,2.25,50.77
3.06,2.95,50.47
2.8,2.24,50.38
2.73,2.14,50.57
2.78,2.14,50.43
2.93,2.19,50.36
4.05,2.51,50.44
2.96,2.35,50.62
3.0,2.16,51.02
3.43,2.11,50.51
3.0,2.31,51.95
2.87,2.19,51.66
2.79,2.57,52.67
2.78,2.13,50.87
2.85,2.16,50.33
2.96,2.11,50.68
2.99,2.23,50.96
3.44,1.97,50.79
3.34,2.46,50.41
2.92,2.1,51.07
2.99,2.06,53.01
2.94,1.99,50.58
2.75,2.21,52.31
3.96,2.18,54.54
2.87,2.26,52.85
2.87,2.05,51.02
3.48,2.69,52.0
2.95,2.25,51.35
3.03,2.47,51.31
5.22,2.39,50.74
6.2,2.29,51.56
5.93,2.34,51.35
3.3,2.31,50.91
2.67,2.46,50.72
2.78,2.11,51.13
3.02,2.15,51.27
2.9,2.07,51.71
2.88,3.02,51.28
3.06,2.28,52.88
2.88,2.19,52.58
2.84,2.57,52.22
2.85,2.14,52.58
3.28,3.54,52.88
2.96,2.78,53.56
2.81,2.55,50.61
2.83,2.23,50.5
2.9,2.64,50.67
2.7,2.29,50.83
2.82,2.65,51.49
2.9,2.07,50.8
2.87,2.18,50.43
2.96,2.2,51.56
2.81,2.13,52.48
2.9,2.06,52.3
2.82,2.55,52.16
2.72,2.35,51.65
2.75,2.48,50.54
2.79,2.12,50.72
3.18,2.0,50.77
3.01,2.06,51.11
3.13,2.12,50.68
2.87,2.1,50.36
3.2,2.3,50.52
2.94,2.16,50.34
2.86,2.05,51.13
2.84,2.53,52.66
2.84,2.16,50.7
2.75,2.43,64.9
3.01,2.08,55.6
2.88,1.97,51.6
2.93,2.07,52.85
2.96,3.33,52.2
3.14,2.42,51.73
2.94,2.0,50.68
2.93,2.07,51.22
3.14,2.12,50.95
2.8,2.14,51.15
2.92,2.12,51.28
3.04,2.33,51.1
2.81,2.2,53.91
3.17,2.3,53.67
2.93,2.21,51.25
2.9,2.32,52.77
3.03,2.4,51.22
2.87,2.22,51.04
3.21,2.63,51.54
2.95,2.2,51.11
3.42,2.19,50.62
2.82,2.76,52.95
2.68,2.48,51.45
2.75,2.56,51.07
2.95,2.27,51.08
2.87,2.23,51.85
2.68,2.2,51.99
3.0,2.39,51.22
3.08,2.67,51.18
2.82,2.12,50.62
4.34,2.37,52.74
3.05,2.33,51.53
3.16,3.43,50.58
2.94,2.28,50.5
3.06,2.44,50.77
3.03,2.17,51.01
3.37,3.22,50.82
3.4,2.22,50.59
3.13,2.6,50.77
2.97,3.15,50.69
2.61,2.37,50.54
2.84,2.47,52.85
3.69,2.31,52.26
2.95,2.65,51.03
3.54,2.64,52.41
3.65,2.63,51.12
2.72,2.29,50.79
2.82,3.23,55.44
2.89,2.54,55.54
3.71,2.23,55.22
3.5,2.52,52.89
3.24,2.25,53.17
3.21,2.6,50.84
3.92,2.4,50.59
3.02,2.46,51.0
2.9,2.37,50.84
3.01,2.55,50.59
2.75,2.92,51.26
2.84,2.2,52.49
2.57,2.35,52.18
3.24,2.39,51.37
3.92,2.53,50.35
4.88,2.3,50.85
3.53,2.08,51.19
5.63,2.24,50.59
5.42,2.15,50.45
5.54,2.1,50.72
3.22,2.02,53.75
2.91,2.17,53.13
2.98,2.04,51.53
