x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
2.18,2.30,2.61,10.73,9.35
1.99,2.55,2.15,9.34,9.01
2.21,2.36,2.47,10.35,10.12
2.03,2.90,1.95,21.98,9.73
2.16,2.30,2.08,10.69,19.27
2.16,2.63,2.21,10.41,9.69
2.22,2.26,2.83,10.59,9.01
2.00,2.55,2.80,22.30,9.74
1.81,2.24,1.95,10.36,20.32
1.96,2.56,2.08,9.51,9.49
1.77,2.39,2.39,10.63,13.00
1.97,2.65,2.52,10.08,10.18
1.82,2.64,2.29,9.71,10.31
2.04,2.44,2.50,9.80,10.67
2.00,2.26,2.97,12.43,10.32
2.08,2.52,3.01,20.46,10.21
1.98,5.77,2.15,21.41,8.96
2.14,2.25,2.41,10.55,9.02
2.11,2.28,2.20,9.92,11.37
2.34,2.28,2.14,9.82,9.59
2.18,2.64,2.19,10.32,10.33
2.20,3.24,2.19,21.64,9.85
2.05,2.34,2.06,10.38,9.30
2.10,2.22,2.07,9.62,10.29
2.10,2.37,2.20,9.68,9.99
2.06,2.40,3.10,18.98,9.80
1.90,2.56,2.17,10.53,10.63
2.70,2.35,2.07,9.57,10.39
2.01,2.65,2.08,9.38,9.57
2.00,2.41,2.10,21.18,9.59
2.38,2.14,3.52,10.94,9.56
3.63,2.28,2.50,11.09,22.37
2.18,3.02,2.28,10.19,10.13
1.94,2.35,2.05,9.32,10.36
2.15,2.59,2.11,10.44,11.11
2.13,2.43,2.17,9.88,9.21
2.30,2.49,3.29,10.52,11.90
2.22,2.33,2.04,19.79,10.12
1.85,2.90,2.27,10.32,9.15
1.84,2.47,2.08,8.98,9.12
2.23,3.10,2.56,9.40,22.81
2.09,2.93,2.11,20.46,10.33
2.10,2.51,2.22,10.44,11.05
2.35,2.17,2.28,9.82,10.61
2.52,2.34,2.34,10.17,10.22
2.16,2.36,3.17,19.23,9.46
2.01,3.64,2.00,10.60,9.26
1.96,2.61,2.03,9.21,19.81
1.90,2.14,2.41,9.48,10.64
