x25519,x25519_mlkem512,mlkem512,x25519_hqc128,hqc128
5.09,4.94,6.89,14.20,13.67
4.84,6.36,5.30,13.49,13.60
6.30,5.48,6.41,13.98,13.87
5.44,6.78,4.89,27.16,13.38
5.01,5.22,5.65,14.47,26.36
5.05,5.81,6.69,13.99,13.51
5.00,5.34,6.33,14.17,13.41
6.07,6.68,5.46,28.33,13.23
4.58,5.14,5.50,14.03,24.85
5.28,5.87,4.69,13.06,13.01
5.09,6.19,5.68,14.44,16.62
5.29,7.61,6.11,13.63,13.86
4.65,6.48,6.17,13.89,13.89
5.67,6.35,6.29,14.66,14.81
5.92,5.79,6.40,16.57,14.96
5.31,5.27,6.59,26.73,26.21
5.63,9.70,5.58,28.77,13.11
4.86,5.35,6.86,14.33,12.67
5.70,5.26,5.50,14.33,16.07
5.58,6.01,5.30,13.43,13.65
5.32,6.74,5.62,13.98,14.31
5.51,6.18,5.51,25.83,14.04
5.29,5.35,5.54,13.80,13.03
5.24,4.79,5.50,13.82,13.93
5.06,6.28,6.21,13.26,13.75
5.11,6.74,6.80,24.24,13.58
4.92,5.21,5.25,14.09,14.11
5.51,5.30,5.15,14.02,14.11
5.08,5.90,5.09,13.70,13.35
4.79,5.20,6.36,25.13,13.04
5.43,5.86,17.35,14.81,13.29
7.62,5.47,5.78,14.92,26.43
6.13,6.11,6.08,14.37,13.66
5.02,5.98,5.04,13.08,14.02
5.63,6.62,5.56,14.69,15.18
5.00,5.76,5.19,13.88,12.81
5.46,5.56,6.11,14.17,16.46
5.19,5.75,6.36,26.08,13.79
5.72,5.72,5.24,13.95,13.53
5.85,5.47,5.12,13.25,13.29
5.33,7.09,6.77,13.04,26.86
5.29,6.41,6.09,28.31,13.95
5.08,5.47,5.54,13.85,14.81
5.14,5.50,5.35,14.28,14.22
5.34,5.69,6.41,14.05,14.85
5.32,6.20,6.58,23.74,13.13
5.81,6.77,6.02,14.29,13.10
6.14,5.73,4.79,13.56,27.13
5.28,5.11,5.43,13.27,14.15
