x448,x448_mlkem768,mlkem768,x448_hqc192,hqc192
10.03,14.23,10.45,60.53,67.39
10.30,11.73,10.68,62.03,60.80
11.57,13.44,11.45,64.55,57.03
10.11,12.79,11.17,58.29,74.17
9.80,12.08,10.43,58.35,65.04
16.32,12.29,12.12,60.24,61.35
10.17,13.52,10.83,59.94,57.79
9.96,12.83,13.45,60.03,62.09
9.92,12.70,10.94,58.13,61.36
10.57,12.23,10.83,60.05,57.16
10.12,11.89,10.51,61.09,58.90
10.77,12.09,10.69,60.07,57.55
9.71,13.70,10.26,59.77,58.85
10.81,11.90,10.66,59.81,57.14
10.10,11.75,11.52,61.02,57.34
11.18,18.98,10.68,62.02,57.11
10.23,12.22,10.33,65.87,61.85
10.39,12.30,10.42,57.64,59.53
10.14,12.55,10.51,60.47,58.34
11.10,11.89,10.48,59.17,57.43
10.19,13.69,12.15,61.51,57.06
11.48,11.83,10.37,57.66,57.91
11.07,12.48,10.31,59.72,56.67
15.10,12.30,12.30,58.81,60.59
10.37,11.91,10.45,58.82,58.14
9.96,12.01,14.17,59.97,57.63
10.71,12.17,10.44,60.67,57.57
14.25,12.12,10.84,59.34,60.24
9.89,17.59,10.69,57.73,58.22
10.07,12.49,10.74,76.72,59.76
10.08,11.90,12.00,60.28,58.50
10.15,12.14,10.95,59.21,58.57
10.43,12.13,10.62,59.45,57.58
12.01,12.44,11.35,58.94,56.15
14.04,12.17,10.46,60.91,56.85
12.20,12.24,10.74,57.48,61.91
10.57,11.90,10.45,57.39,58.36
12.08,13.92,13.00,58.54,60.69
9.95,11.69,11.84,59.65,56.68
11.93,15.78,13.22,58.40,58.32
10.22,12.33,10.91,61.14,59.43
10.08,12.01,10.47,60.12,58.58
10.75,11.84,12.64,64.63,60.85
10.21,11.84,10.49,58.24,58.27
10.09,14.61,10.98,59.91,57.57
10.37,12.01,12.14,61.21,59.32
10.35,12.01,14.02,61.24,58.31
10.49,12.96,10.36,57.58,58.31
10.00,12.50,10.49,71.70,60.51
