p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
31.00,31.36,20.03,119.40,106.45
24.64,30.80,21.60,114.78,120.12
24.82,33.48,21.79,115.96,149.05
25.18,30.39,26.51,118.03,112.02
37.90,32.10,18.55,119.92,109.79
25.97,33.01,18.47,117.13,107.68
25.58,30.46,20.59,116.93,102.30
26.77,32.87,19.01,115.07,102.41
25.68,30.03,19.16,115.59,105.57
25.34,32.07,19.29,116.80,102.38
34.34,31.15,18.36,114.83,102.17
25.34,30.89,18.94,123.44,102.00
25.61,31.65,19.07,114.34,107.25
29.79,31.57,17.92,121.47,102.97
25.63,30.49,18.51,113.46,104.56
26.59,40.27,18.29,144.31,104.31
26.67,32.48,19.29,119.47,103.68
25.06,32.98,21.75,119.77,102.59
24.53,41.58,18.78,116.78,110.74
26.00,31.42,19.65,118.18,113.93
24.64,30.83,18.73,114.64,104.50
25.36,30.16,18.99,113.86,103.30
25.04,30.16,19.98,114.46,104.73
25.10,32.43,19.53,118.13,114.44
25.14,31.98,18.28,115.38,112.48
24.85,30.78,18.94,115.10,105.09
26.40,32.09,18.42,123.03,105.43
25.22,30.69,19.46,118.20,102.73
24.36,31.42,18.44,117.66,104.61
25.79,31.42,20.90,148.12,102.47
26.12,31.69,19.23,116.48,106.89
24.68,30.62,19.91,116.20,101.42
24.92,30.26,18.47,116.35,104.35
25.75,31.09,19.12,116.87,103.35
30.92,30.26,18.90,113.18,105.46
24.80,33.34,18.71,117.61,103.64
26.97,41.16,19.08,118.33,114.69
24.99,29.87,19.46,119.51,122.54
25.32,30.23,19.25,113.64,103.80
24.90,30.92,18.30,114.47,108.42
26.67,32.69,18.45,115.59,162.81
25.80,39.19,21.34,118.79,106.62
24.77,31.45,20.22,121.30,105.84
25.55,31.55,18.31,117.05,103.88
27.47,33.38,19.48,114.98,102.03
26.29,30.67,18.49,161.63,103.43
24.73,31.87,19.41,119.89,104.89
26.04,30.43,18.66,118.27,108.11
28.11,31.08,19.99,117.01,102.34
