p521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
33.60,38.00,15.37,62.19,66.56
19.92,24.11,15.09,74.17,67.82
19.71,38.46,15.11,73.88,65.64
19.84,24.26,15.28,75.41,53.24
20.51,24.69,15.82,62.18,61.82
30.98,37.54,15.95,75.75,64.58
20.29,37.01,15.35,75.21,66.18
31.59,24.08,15.74,74.70,54.32
32.76,36.00,16.49,61.76,65.41
20.21,38.81,15.26,72.32,66.20
19.72,23.97,15.40,75.21,65.75
19.68,24.03,27.37,75.36,56.79
32.57,37.97,15.56,61.77,65.59
31.72,37.65,15.32,76.87,65.84
35.42,37.45,15.61,71.07,65.75
33.03,24.47,17.57,74.54,53.09
34.23,39.55,15.26,74.34,63.16
33.63,37.43,15.35,72.20,65.72
33.40,37.82,15.12,74.20,65.64
19.95,39.56,15.43,71.97,53.13
33.27,24.02,16.46,62.26,64.82
20.37,39.12,15.51,75.98,65.64
21.82,24.71,15.82,71.50,66.51
34.28,24.11,15.46,73.26,53.05
19.96,38.03,15.46,61.20,66.18
34.10,26.44,17.81,71.05,65.02
31.67,37.99,26.93,74.14,65.98
20.26,23.70,15.53,71.50,52.71
31.50,36.79,15.15,61.09,66.49
20.18,37.41,27.42,74.36,64.50
32.97,36.18,15.42,73.93,67.37
20.07,23.91,15.46,75.39,53.04
22.21,38.05,15.46,62.04,64.35
20.35,36.28,15.48,71.63,65.76
33.14,37.91,16.93,74.07,66.11
20.09,37.71,15.44,75.44,66.78
33.42,23.89,15.96,61.35,65.58
33.27,37.32,15.35,75.20,66.72
33.74,39.56,17.30,74.89,65.37
19.86,36.69,15.18,72.74,63.95
33.53,24.43,15.55,62.28,69.79
34.38,24.28,15.76,76.30,64.64
23.80,41.58,15.33,72.82,65.69
20.11,24.41,15.41,73.61,65.69
19.79,24.32,15.11,61.29,53.06
33.05,27.37,15.50,75.17,65.01
32.39,35.98,15.27,73.47,66.53
20.08,37.50,15.40,73.59,64.13
20.07,24.60,16.02,61.43,53.99
